num,sentence,ipa
0,শূন্য,
1,এক,
2,দুই,
3,তিন,
4,চার,
5,পাঁচ,
6,ছয়,
7,সাত,
8,আট,
9,নয়,
10,দশ,
11,এগারো,
12,বারো,
13,তেরো,
14,চৌদ্দ,
15,পনেরো,
16,ষোলো,
17,সতেরো,
18,আঠারো,
19,উনিশ,
20,বিশ,
21,একুশ,
22,বাইশ,
23,তেইশ,
24,চব্বিশ,
25,পঁচিশ,
26,ছাব্বিশ,
27,সাতাশ,
28,আঠাশ,
29,উনত্রিশ,
30,ত্রিশ,
31,একত্রিশ,
32,বত্রিশ,
33,তেত্রিশ,
34,চৌত্রিশ,
35,পঁয়ত্রিশ,
36,ছত্রিশ,
37,সাঁইত্রিশ,
38,আটত্রিশ,
39,উনচল্লিশ,
40,চল্লিশ,
41,একচল্লিশ,
42,বিয়াল্লিশ,
43,তেতাল্লিশ,
44,চুয়াল্লিশ,
45,পঁয়তাল্লিশ,
46,ছেচল্লিশ,
47,সাতচল্লিশ,
48,আটচল্লিশ,
49,উনপঞ্চাশ,
50,পঞ্চাশ,
51,একান্ন,
52,বায়ান্ন,
53,তিপ্পান্ন,
54,চুয়ান্ন,
55,পঞ্চান্ন,
56,ছাপ্পান্ন,
57,সাতান্ন,
58,আটান্ন,
59,উনষাট,
60,ষাট,
61,একষট্টি,
62,বাষট্টি,
63,তেষট্টি,
64,চৌষট্টি,
65,পঁয়ষট্টি,
66,ছেষট্টি,
67,সাতষট্টি,
68,আটষট্টি,
69,উনসত্তর,
70,সত্তর,
71,একাত্তর,
72,বাহাত্তর,
73,তিয়াত্তর,
74,চুয়াত্তর,
75,পঁচাত্তর,
76,ছিয়াত্তর,
77,সাতাত্তর,
78,আটাত্তর,
79,উনআশি,
80,আশি,
81,একাশি,
82,বিরাশি,
83,তিরাশি,
84,চুরাশি,
85,পঁচাশি,
86,ছিয়াশি,
87,সাতাশি,
88,আটাশি,
89,উননব্বই,
90,নব্বই,
91,একানব্বই,
92,বিরানব্বই,
93,তিরানব্বই,
94,চুরানব্বই,
95,পঁচানব্বই,
96,ছিয়ানব্বই,
97,সাতানব্বই,
98,আটানব্বই,
99,নিরানব্বই,
100,একশ,
101,এক শত এক,
102,এক শত দুই,
103,এক শত তিন,
104,এক শত চার,
105,এক শত পাঁচ,
106,এক শত ছয়,
107,এক শত সাত,
108,এক শত আট,
109,এক শত নয়,
110,এক শত দশ,
111,এক শত এগারো,
112,এক শত বারো,
113,এক শত তেরো,
114,এক শত চৌদ্দ,
115,এক শত পনেরো,
116,এক শত ষোলো,
117,এক শত সতেরো,
118,এক শত আঠারো,
119,এক শত উনিশ,
120,এক শত বিশ,
121,এক শত একুশ,
122,এক শত বাইশ,
123,এক শত তেইশ,
124,এক শত চব্বিশ,
125,এক শত পঁচিশ,
126,এক শত ছাব্বিশ,
127,এক শত সাতাশ,
128,এক শত আঠাশ,
129,এক শত উনত্রিশ,
130,এক শত ত্রিশ,
131,এক শত একত্রিশ,
132,এক শত বত্রিশ,
133,এক শত তেত্রিশ,
134,এক শত চৌত্রিশ,
135,এক শত পঁয়ত্রিশ,
136,এক শত ছত্রিশ,
137,এক শত সাঁইত্রিশ,
138,এক শত আটত্রিশ,
139,এক শত উনচল্লিশ,
140,এক শত চল্লিশ,
141,এক শত একচল্লিশ,
142,এক শত বিয়াল্লিশ,
143,এক শত তেতাল্লিশ,
144,এক শত চুয়াল্লিশ,
145,এক শত পঁয়তাল্লিশ,
146,এক শত ছেচল্লিশ,
147,এক শত সাতচল্লিশ,
148,এক শত আটচল্লিশ,
149,এক শত উনপঞ্চাশ,
150,এক শত পঞ্চাশ,
151,এক শত একান্ন,
152,এক শত বায়ান্ন,
153,এক শত তিপ্পান্ন,
154,এক শত চুয়ান্ন,
155,এক শত পঞ্চান্ন,
156,এক শত ছাপ্পান্ন,
157,এক শত সাতান্ন,
158,এক শত আটান্ন,
159,এক শত উনষাট,
160,এক শত ষাট,
161,এক শত একষট্টি,
162,এক শত বাষট্টি,
163,এক শত তেষট্টি,
164,এক শত চৌষট্টি,
165,এক শত পঁয়ষট্টি,
166,এক শত ছেষট্টি,
167,এক শত সাতষট্টি,
168,এক শত আটষট্টি,
169,এক শত উনসত্তর,
170,এক শত সত্তর,
171,এক শত একাত্তর,
172,এক শত বাহাত্তর,
173,এক শত তিয়াত্তর,
174,এক শত চুয়াত্তর,
175,এক শত পঁচাত্তর,
176,এক শত ছিয়াত্তর,
177,এক শত সাতাত্তর,
178,এক শত আটাত্তর,
179,এক শত উনআশি,
180,এক শত আশি,
181,এক শত একাশি,
182,এক শত বিরাশি,
183,এক শত তিরাশি,
184,এক শত চুরাশি,
185,এক শত পঁচাশি,
186,এক শত ছিয়াশি,
187,এক শত সাতাশি,
188,এক শত আটাশি,
189,এক শত উননব্বই,
190,এক শত নব্বই,
191,এক শত একানব্বই,
192,এক শত বিরানব্বই,
193,এক শত তিরানব্বই,
194,এক শত চুরানব্বই,
195,এক শত পঁচানব্বই,
196,এক শত ছিয়ানব্বই,
197,এক শত সাতানব্বই,
198,এক শত আটানব্বই,
199,এক শত নিরানব্বই,
200,দুইশ,
201,দুই শত এক,
202,দুই শত দুই,
203,দুই শত তিন,
204,দুই শত চার,
205,দুই শত পাঁচ,
206,দুই শত ছয়,
207,দুই শত সাত,
208,দুই শত আট,
209,দুই শত নয়,
210,দুই শত দশ,
211,দুই শত এগারো,
212,দুই শত বারো,
213,দুই শত তেরো,
214,দুই শত চৌদ্দ,
215,দুই শত পনেরো,
216,দুই শত ষোলো,
217,দুই শত সতেরো,
218,দুই শত আঠারো,
219,দুই শত উনিশ,
220,দুই শত বিশ,
221,দুই শত একুশ,
222,দুই শত বাইশ,
223,দুই শত তেইশ,
224,দুই শত চব্বিশ,
225,দুই শত পঁচিশ,
226,দুই শত ছাব্বিশ,
227,দুই শত সাতাশ,
228,দুই শত আঠাশ,
229,দুই শত উনত্রিশ,
230,দুই শত ত্রিশ,
231,দুই শত একত্রিশ,
232,দুই শত বত্রিশ,
233,দুই শত তেত্রিশ,
234,দুই শত চৌত্রিশ,
235,দুই শত পঁয়ত্রিশ,
236,দুই শত ছত্রিশ,
237,দুই শত সাঁইত্রিশ,
238,দুই শত আটত্রিশ,
239,দুই শত উনচল্লিশ,
240,দুই শত চল্লিশ,
241,দুই শত একচল্লিশ,
242,দুই শত বিয়াল্লিশ,
243,দুই শত তেতাল্লিশ,
244,দুই শত চুয়াল্লিশ,
245,দুই শত পঁয়তাল্লিশ,
246,দুই শত ছেচল্লিশ,
247,দুই শত সাতচল্লিশ,
248,দুই শত আটচল্লিশ,
249,দুই শত উনপঞ্চাশ,
250,দুই শত পঞ্চাশ,
251,দুই শত একান্ন,
252,দুই শত বায়ান্ন,
253,দুই শত তিপ্পান্ন,
254,দুই শত চুয়ান্ন,
255,দুই শত পঞ্চান্ন,
256,দুই শত ছাপ্পান্ন,
257,দুই শত সাতান্ন,
258,দুই শত আটান্ন,
259,দুই শত উনষাট,
260,দুই শত ষাট,
261,দুই শত একষট্টি,
262,দুই শত বাষট্টি,
263,দুই শত তেষট্টি,
264,দুই শত চৌষট্টি,
265,দুই শত পঁয়ষট্টি,
266,দুই শত ছেষট্টি,
267,দুই শত সাতষট্টি,
268,দুই শত আটষট্টি,
269,দুই শত উনসত্তর,
270,দুই শত সত্তর,
271,দুই শত একাত্তর,
272,দুই শত বাহাত্তর,
273,দুই শত তিয়াত্তর,
274,দুই শত চুয়াত্তর,
275,দুই শত পঁচাত্তর,
276,দুই শত ছিয়াত্তর,
277,দুই শত সাতাত্তর,
278,দুই শত আটাত্তর,
279,দুই শত উনআশি,
280,দুই শত আশি,
281,দুই শত একাশি,
282,দুই শত বিরাশি,
283,দুই শত তিরাশি,
284,দুই শত চুরাশি,
285,দুই শত পঁচাশি,
286,দুই শত ছিয়াশি,
287,দুই শত সাতাশি,
288,দুই শত আটাশি,
289,দুই শত উননব্বই,
290,দুই শত নব্বই,
291,দুই শত একানব্বই,
292,দুই শত বিরানব্বই,
293,দুই শত তিরানব্বই,
294,দুই শত চুরানব্বই,
295,দুই শত পঁচানব্বই,
296,দুই শত ছিয়ানব্বই,
297,দুই শত সাতানব্বই,
298,দুই শত আটানব্বই,
299,দুই শত নিরানব্বই,
300,তিনশ,
301,তিন শত এক,
302,তিন শত দুই,
303,তিন শত তিন,
304,তিন শত চার,
305,তিন শত পাঁচ,
306,তিন শত ছয়,
307,তিন শত সাত,
308,তিন শত আট,
309,তিন শত নয়,
310,তিন শত দশ,
311,তিন শত এগারো,
312,তিন শত বারো,
313,তিন শত তেরো,
314,তিন শত চৌদ্দ,
315,তিন শত পনেরো,
316,তিন শত ষোলো,
317,তিন শত সতেরো,
318,তিন শত আঠারো,
319,তিন শত উনিশ,
320,তিন শত বিশ,
321,তিন শত একুশ,
322,তিন শত বাইশ,
323,তিন শত তেইশ,
324,তিন শত চব্বিশ,
325,তিন শত পঁচিশ,
