num,sentence,ipa
0,শূন্য, ʃunno
1,এক, æk
2,দুই, d̪u͡i̯
3,তিন, t̪in
4,চার, car
5,পাঁচ, pãc
6,ছয়, cʰɔʲ
7,সাত, ʃat̪
8,আট, at
9,নয়, nɔʲ
10,দশ, d̪ɔʃ
11,এগারো, ægaro
12,বারো, baro
13,তেরো, t̪ero
14,চৌদ্দ, co͡u̯d̪d̪o
15,পনেরো, ponero
16,ষোলো, ʃolo
17,সতেরো, ʃɔt̪ero
18,আঠারো, atʰaro
19,উনিশ, uniʃ
20,বিশ, biʃ
21,একুশ, ækuʃ
22,বাইশ, ba͡i̯ʃ
23,তেইশ, t̪e͡i̯ʃ
24,চব্বিশ, cobbiʃ
25,পঁচিশ, põciʃ
26,ছাব্বিশ, cʰabbiʃ
27,সাতাশ, ʃat̪aʃ
28,আঠাশ, atʰaʃ
29,উনত্রিশ, unot̪riʃ
30,ত্রিশ, t̪riʃ
31,একত্রিশ, ækot̪riʃ
32,বত্রিশ, bɔt̪riʃ
33,তেত্রিশ, t̪et̪riʃ
34,চৌত্রিশ, co͡u̯t̪riʃ
35,পঁয়ত্রিশ, põʲt̪riʃ
36,ছত্রিশ, cʰɔt̪riʃ
37,সাঁইত্রিশ, ʃãit̪riʃ
38,আটত্রিশ, att̪riʃ
39,উনচল্লিশ, unocolliʃ
40,চল্লিশ, colliʃ
41,একচল্লিশ, ækcolliʃ
42,বিয়াল্লিশ, biʲalliʃ
43,তেতাল্লিশ, t̪et̪alliʃ
44,চুয়াল্লিশ, cuʲalliʃ
45,পঁয়তাল্লিশ, põʲt̪alliʃ
46,ছেচল্লিশ, cʰecolliʃ
47,সাতচল্লিশ, ʃat̪colliʃ
48,আটচল্লিশ, atcolliʃ
49,উনপঞ্চাশ, unopɔncaʃ
50,পঞ্চাশ, pɔncaʃ
51,একান্ন, ækanno
52,বায়ান্ন, baʲanno
53,তিপ্পান্ন, t̪ippanno
54,চুয়ান্ন, cuʲanno
55,পঞ্চান্ন, pɔncanno
56,ছাপ্পান্ন, cʰappanno
57,সাতান্ন, ʃat̪anno
