bangla_token,ipa_token
সৌভাগ্যক্রমে,ʃo͡u̯bʱaggokrome
নগিন,ngin
গেছেনবলেন,gecʰenbɔlen
ওয়াকিটকি,oʷakitki
শশীকান্তের,ʃoʃikant̪er
দুপাশের,d̪upaʃer
শফিউল্লাহ,ʃopʰi͡u̯llah
দানা,d̪ana
চায়নিজ,caʲniɟ
মহাকাব্য,mɔhakabbo
শাবানার,ʃabanar
ক্যাটাগরি-০৭,kætagori-07
এসেছি,eʃecʰi
প্রবেশপত্র,probeʃpot̪ro
বাদাউনি,bad̪a͡u̯ni
নিষেধাজ্ঞাটি,niʃed̪ʱaggati
‘গ্র্যাজুয়েট’,‘graɟuʲet’
দৌড়ানো,d̪o͡u̯ɽano
সাদমান,ʃad̪man
তুষারসহ,t̪uʃarʃɔho
গর্ভফুল,gɔrbʱopʰul
ছজন,cʰɔɟon
স্বার্থই,ʃart̪ʰo͡i̯
দেখতে,d̪ekʰt̪e
অনুষ্ঠিত,onuʃtʰit̪o
জড়িত,ɟoɽit̪o
দুজনেরই,d̪uɟɔneri
আত্মহননকারী,at̪hɔnonkari
হাফসানা,hapʰʃana
মৌগাতী,mo͡u̯gat̪i
বাদেসমন্দিয়া,bad̪eʃmɔnd̪iʲa
৩০৭৩০৯,307309
সোবানের,ʃobaner
কুয়োমিন্টাং,kuʲomintaŋ
নাজির,naɟir
ঐতিহ্যকে,o͡i̯t̪iɟɟʱoke
ধোঁয়াটে,d̪ʱe͡ã̯ʲate
সাকির,ʃakir
জেবুন,ɟebun
"অবরোধ,","ɔborod̪ʱ,"
বালিভর্তি,balibʱɔrt̪i
কোহিনুরের,kohinurer
পরাশক্তিরা,pɔraʃokt̪ira
ইনজুরিটা,inɟurita
পরিশ্রমও,porisromo
লালমিয়ার,lalomiʲar
পলাতকদের,pɔlat̪okd̪er
ডায়নামাইটনস,daʲnama͡i̯tnʃ
নেতৃত্বদানকারী,net̪rit̪t̪od̪ankari
লীগকেই,ligke͡i̯
বিচক্ষণতার,bicokkʰonot̪ar
উপাত্ত,upat̪t̪o
চোরাকারবারীকে,corakarbarike
এক্সপাঞ্জ,ekspanɟ
রাশজাহী,raʃɟahi
কিংসকে,kiŋʃɔke
(১১৫/৭),(115/7)
দুদলকে,d̪ud̪ɔlke
(১২০/১)।,(120/1)।
মুসোন্ডা,muʃonda
কারাদণ্ডও,karad̪ɔndo͡o̯
জেনেভিভ,ɟenebʱibʱ
ছাড়লে,cʰaɽle
মিজানকে,miɟanke
হেরোইন।,hero͡i̯n।
বেলজিয়াম,beloɟiʲam
পড়তাম।,pɔɽt̪am।
৪৬১,461
টয়লেট,tɔʲlet
আইনে।,a͡i̯ne।
অনুপ্রবেশকারী,ɔnuprobeʃkari
চান্দারটেক,cand̪artek
উৎসবকেন্দ্রিক,ut̪ʃɔbkend̪rik
ক্রোনার,kronar
দরকারি,d̪ɔrkari
দৃষ্টান্তগুলো,d̪riʃtant̪ogulo
ইউনিফরমধারী,i͡u̯nipʰɔrɔmod̪ʱari
শ্রীলঙ্কায়,srilɔŋkaʲ
১০তলার,10t̪ɔlar
টিকু,tiku
স্টাইনগ্র“বার,sta͡i̯nɔgro“bar
সফলতা-ব্যর্থতা,ʃɔpʰolɔt̪a-bbort̪ʰot̪a
সোহেলদের,ʃoheld̪er
নির্বাচনপূর্ব,nirbacɔnpurbo
হোসা,hoʃa
পরিবারই,poribari
অফিসগুলো।,ɔpʰiʃgulo।
‘গল্প,‘gɔlpo
উত্তোলনসহ,ut̪t̪olɔnʃɔho
ভোগড়া-বাইপাস,bʱogɽa-ba͡i̯paʃ
অছিনগর,ɔcʰingɔr
এলিফ্যান্টিয়াসিস,elipʰæntiʲaʃiʃ
ট্রাক-টেম্পো,trak-tempo
সুধীন,ʃud̪ʱin
বেপারীপাড়া,bæparipaɽa
নিবিষ্ট,nibiʃto
মনে।,mone।
ভাইজানর,bʱa͡i̯ɟanor
সুশাসনই,ʃuʃaʃoni
ডিভাইসটি।,dibʱa͡i̯ʃti।
প্রত্যক্ষদর্শীকে,prot̪t̪okkʰod̪ɔrʃike
৮০টিরও,80tiro
জিতল,ɟit̪ɔl
সার্বিয়া,ʃarbiʲa
কবিতাটি,kobit̪ati
বিকাশকে,bikaʃke
অবারিত,ɔbarit̪ɔ
লারমা,larma
লেনদেনকথাবার্তা,lend̪enkɔt̪ʰabart̪a
‘এলিফ্যান্টিয়াসিস’,‘elipʰæntiʲaʃiʃ’
ফিনিশড,pʰiniʃd
মিঠাগঞ্জ,mitʰagɔnɟ
আমারসবি,amaroʃobi
"আদনান,","ad̪onan,"
মংলাকে,mɔŋlake
ডাকযোগে,dakɟoge
জুম্মনকে,ɟummonke
অসিদের,ɔʃid̪er
মাইলফলকে,ma͡i̯lpʰɔlke
ড্রাগ,drag
রিওর,ri͡o̯r
এক্স,ekʃo
নজিপুরে,noɟipure
পুয়া,puʲa
অদম্য।,ɔd̪ommo।
সার্জনইমপালস,ʃarɟonimpaloʃ
নয়ই,nɔʲi
তৃনা,t̪rina
ডিএ,di͡e̯
সম্মেলনস্থল,ʃɔmmkɔlonɔst̪ʰɔl
আইভীকে,a͡i̯bʱike
জিহ্বাকে,ɟihobake
পাহাড়া,pahaɽa
আটক,atok
হেরোইন,hero͡i̯n
এজেন্ট,eɟent
যাত,ɟat̪
প্রিজারভেটিভ,priɟarbʱetibʱ
খাবারে,kʰabare
সোডিয়াম,sodiʲam
নাইট্রেটের,na͡i̯treter
বিসিসিআইকে,biʃiʃi͡a̯͡i̯ke
০৯০০১১১৬৪৩২৭,090011164327
সুগন্ধি,ʃugɔnd̪ʱi
কালে,kale
নিরাপত্তামন্ত্রী,nirapɔt̪t̪amɔnt̪ri
চয়নকে,cɔʲonke
অভিযোগপত্রের,obʱiɟe͡a̯gpot̪rer
অনুমোদন,onume͡a̯d̪on
৩৫০ডটঅর্গ,350dɔtɔrgo
(বাজেট),(baɟet)
প্রতিনিধিকে,prot̪inid̪ʱike
প্রতিনিধিশুক্রবার,prot̪inid̪ʱiʃukrobar
আওতা,a͡o̯t̪a
নিধনযজ্ঞ,nid̪ʱɔnɟoggo
স্কলারট্রুপ,skolartrup
ছিলানি,cʰilani
লাগলেন,laglen
স্কলারশিপ,skolarʃip
রাজদরবারে,raɟd̪ɔrbare
বিনাশ,binaʃ
চাচা-ভাতিজা,caca-bʱat̪iɟa
গ্রামগঞ্জে,gramgɔnɟe
জালমাছমারী,ɟalmacʰmari
ভিসেরা,bʱiʃera
শাসনভার,ʃaʃonbʱar
বিষের,biʃer
ঘটনাটাই,gʱɔtonata͡i̯
মেধাতালিকায়,med̪ʱat̪alikaʲ
অনি,oni
প্রতিদ্বন্দ্বিতাপূর্ণ,prot̪id̪d̪ɔnd̪it̪apurno
ম্যাচেই।,mæce͡i̯।
অ্যান্ডি,ændi
ফ্লাওয়ারের,pʰla͡o̯ʷarer
শিশুপ্রহর,ʃiʃuprohor
আহ্বানকারী,ahobankari
০৮৫,085
সবভাষারই,ʃɔbbʱaʃari
ঝাড়,ɟʱaɽ
লীগগুলোর,liggulor
আমিনুরকে,aminurke
নড়ে,noɽe
টিল,til
বাহালুল,bahalul
কার্যবিধির,karɟobid̪ʱir
বারকাত,barkat̪
মেইড,me͡i̯d
রেনশ,renoʃ
ফুলপুরে,pʰulpure
উদ্ধারফুলপুর,ud̪d̪ʱarpʰulpur
মালুম,malum
প্রতিনিধিফুলপুর,prot̪inid̪ʱipʰulpur
দিউ,d̪i͡u̯
রণতরীর,rɔnot̪orir
শেকড়ের,ʃekɽer
লজিস্টিকস,lɔɟistiks
এফডিআর,epʰdi͡a̯r
নেপালবুধবার,nepalbud̪ʱbar
সুবিধাদি,ʃubid̪ʱad̪i
৫৮৭,587
৬৬৬,666
তকীয়ূল্লাহর,t̪okiʲo͡u̯llahor
বসবেন,boʃɔben
সাতবাড়িয়া,ʃat̪baɽiʲa
পদটি।,pɔd̪oti।
ফটকসহ,pʰɔtokʃɔho
বন্দনা,bond̪ona
কনডেনসেট,kondenʃet
ধনতলা,d̪ʱont̪ɔla
৩৮১,381
বোঝাকে,boɟʱake
ডাইক,da͡i̯k
আম্পায়াররা,ampaʲarra
পার্টিও,parti͡o̯
শরাফত,ʃɔrapʰot̪o
রুমির,rumir
কাব্যকেই,kabboke͡i̯
রফতানিমুখী,rɔpʰt̪animukʰi
মানোত্তীর্ণ,manot̪t̪irno
এয়ারপোর্ট,eʲarport
সার্ভিসপদসংখ্যা,ʃarbʱispɔd̪ʃɔŋkʰkʰa
জিএফএমডির,ɟi͡e̯pʰemodir
৯১২.৮৯,912.89
বনভূমি,bɔnbʱumi
ধানি,d̪ʱani
রাজকোট,raɟkot
কেএফসিটি,ke͡e̯pʰositi
(আদিল,(ad̪il
আনসারি),anʃari)
বিইউওয়াই,bi͡i̯u͡o̯ʷa͡i̯
জেনিংসও,ɟeniŋʃɔ͡o̯
ইন্টারগেশন,intargeʃon
পুত্রকে,put̪roke
ক্যাটাগরি-০৯,kætagori-09
পিতাসেনবাগ,pit̪aʃenbag
এ,e
প্রায়,praʲ
৪০,40
এদিকে,ed̪ike
অপরাধ,ɔporad̪ʱ
ঘটনার,gʱɔtonar
৫,5
রিয়াল,riʲal
ওপারে,opare
ঘটনায়,gʱɔtonaʲ
সোমবার,ʃombar
নিহতরা,nihɔt̪ɔra
দিন,d̪in
উত্তর,ut̪t̪or
করলে,korle
থাকা,t̪ʰaka
কস্তা,kɔst̪a
পর,pɔr
হলেন,hɔlen
পুলিশ,puliʃ
বৃহস্পতিবার,brihospot̪ibar
সকালে,ʃɔkale
মো.,mo.
মাদ্রিদের,mad̪rid̪er
সকাল,ʃɔkal
অবশ্যই,ɔboʃʃo͡i̯
ভারতীয়,bʱart̪iʲo
গৃহবন্দি,grihobɔnd̪i
খাদিজার,kʰad̪iɟar
১১টার,11tar
রাজবাড়ীর,raɟbaɽir
ইংল্যান্ড,iŋlænd
সেলিমের,selimer
করে,kore
সাজা,ʃaɟa
সাবেক,ʃabek
স্থানীয়রা,st̪ʰaniʲora
চক্রের,cokrer
কোচ,koc
দিকে,d̪ike
রাখা,rakʰa
পেতে,pet̪e
পাংশা,paŋʃa
ছাড়তে,cʰaɽt̪e
লাশটি,laʃti
নদীর,nod̪ir
হয়,hɔʲ
হাতে,hat̪e
প্রাক্তন,prakt̪on
ওই,o͡i̯
হোসে,hoʃe
হবে।,hɔbe।
চান।,can।
চলে,cɔle
পাড়ে,paɽe
তাকে।,t̪ake।
খাল,kʰalo
এটা,eta
উপজেলার,upoɟelar
যায়,ɟaʲ
হল-,hɔl-
স্বামী,ʃami
বিবিসি,bibiʃi
মরিনহো,morinho
গেলে,gele
থেকে,t̪ʰeke
তাদের,t̪ad̪er
এসব,eʃɔb
ধান,d̪ʱan
শেখ,ʃekʰo
চট্টগ্রামগামী,cɔttogramgami
এবং,eboŋ
সরিষা,ʃoriʃa
অজ্ঞাত,ɔggat̪
জাল,ɟal
কাছে,kacʰe
২৫,25
উদ্ধার,ud̪d̪ʱar
কাটার,katar
চুজি।,cuɟi।
জাকির,ɟakir
"জানিয়েছে,","ɟaniʲecʰe,"
ব্যত্যয়,bæt̪t̪oʲ
প্রতিনিধিমাদকাসক্ত,prot̪inid̪ʱimad̪kaʃokt̪o
করা,kɔra
শ্যামলী,ʃæmoli
যুবকের,ɟuboker
ব্যাখ্যা,bækkʰa
মুদ্রা।,mud̪ra।
মর্টগেজ,mɔrtgeɟ
ইউনিয়নের,i͡u̯niʲoner
হয়।,hɔʲ।
পুরিয়া,puriʲa
রোনাল্ডোর,ronaldor
সঙ্গে,ʃɔŋge
সময়,ʃɔmɔʲ
হোসেনকে,hoʃenke
মনিজ,moniɟ
লেইন,le͡i̯n
বাবা-মা।,baba-ma।
হকিবিজয়,hokibiɟɔʲ
ঘটুক,gʱotuk
রকি,roki
নৌবাহিনী।,no͡u̯bahini।
রবুর,robur
কতগুলো,kɔt̪ogulo
আকিল,akil
নিরসনই,nirɔʃoni
খাতসহ,kʰat̪ʃɔho
তথ্যবিভ্রাটপ্রশাসনিক,t̪ot̪t̪ʰobibʱratproʃaʃonik
১১৮,118
ট্রেন্ড,trend
মোটিভ,motibʱ
টি-শার্টগুলোতে।,ti-ʃartgulot̪e।
দুয়ারপাল,d̪uʲarpal
