bangla_token,ipa_token
(,(
(),()
(..),(..)
(...),(...)
(://...),(://...)
(অটোমোবাইলস),(ɔtomoba͡i̯lʃ)
(অতিরিক্ত,(ot̪irikt̪o
(অনূর্ধ্ব-১৪),(ɔnurd̪ʱo-14)
(অন্যপক্ষ),(ɔnnopokkʰo)
(অপারেশন),(ɔpareʃon)
(অপারেশন-১),(ɔpareʃon-1)
(অব),(ɔbo)
(অব.),(ɔbo.)
(অভিযোগ),(obʱiɟog)
(অ্যাকটিভ,(æktibʱ
"(অ্যাপার্টমেন্ট,","(æpartoment,"
(আইইডি),(a͡i̯idi)
(আইএম,(a͡i̯em
(আইএমইডি),(a͡i̯æmidi)
(আইএমও),(a͡i̯emo)
(আইএস),(a͡i̯͡e̯s)
(আইএসএল),(a͡i̯esel)
(আইএসপিআর),(a͡i̯espi͡a̯r)
(আইওজে),(a͡i̯͡o̯ɟe)
(আইক্যাব),(a͡i̯kko͡a̯bo)
(আইজিপি),(a͡i̯ɟipi)
(আইডিসি),(a͡i̯disi)
(আইনমন্ত্রী),(a͡i̯nmɔnt̪ri)
(আইপিএল),(a͡i̯pi͡e̯l)
(আইসিইউ),(a͡i̯si͡i̯u)
(আইসিবি),(a͡i̯ʃibi)
(আওয়ামী,(a͡o̯ʷami
(আজ),(aɟ)
(আদিল,(ad̪il
(আনু,(anu
(আন্কাবুত-৪৫),(ankabut̪-45)
(আভাস),(abʱaʃ)
(আরআরএফ),(ararɔ͡e̯pʰ)
(আরএফআইডি),(arɔ͡e̯pʰa͡i̯di)
(আরএমও),(arɔ͡e̯mo)
(আরএমপি),(aro͡e̯mpi)
(আরসালানখান,(arsalankʰan
(আল,(al
(আলজাহরানি),(alɟahorani)
(আলমগীরি,(alomogiri
(আলীরাজ)।,(aliraɟ)।
(আসলাম,(aʃlam
"(ই),","(i),"
(ইআরডি),(i͡a̯rɔdi)
(ইউএনএইচসিআর),(i͡u̯æne͡i̯coʃi͡a̯r)
(ইউএনও),(i͡u̯eno)
(ইউনিয়ন,(i͡u̯niʲon
(ইউরোপিয়ান,(i͡u̯ropiʲan
(ইএনটি),(i͡e̯nti)
(ইতালি,(it̪ali
"(ইন্দোনেশিয়া),","(ind̪oneʃiʲa),"
(ইপিআর),(ipi͡a̯r)
(ইভিএম),(ibʱi͡e̯m)
(ইসি),(isi)
(ইসিএ),(iʃi͡e̯)
(ইসিএইচআর),(iʃi͡e̯icar)
(উত্তর),(ut̪t̪or)
(উপরে)।,(upɔre)।
(উপসচিব),(upoʃocib)
(এআইজি-মিডিয়া),(e͡a̯͡i̯ɟi-midiʲa)
(এআইটি),(æ͡e̯͡i̯ti)
(এই,(e͡i̯
(এইচএলএইচ),(e͡i̯cele͡i̯c)
(এইচএসসি),(e͡i̯ceʃosi)
(এএমআরএফ),(e͡e̯marɔ͡e̯pʰ)
(এএমসিএল),(e͡e̯mʃi͡e̯l)
(এএসআই),(e͡æ̯ʃo͡a̯i)
(এক,(æk
(একনেক),(ækonek)
(এডিবি),(edibi)
(এডিসি),(edisi)
(এনইউপিআরপি)’,(æni͡u̯pi͡a̯rɔpi)’
(এনএলডি),(eneldi)
(এনএসসি),(enesʃi)
