word,ipa
যদিও,ɟod̪i͡o̯
এ,e
ব্যাপারে,bæpare
সঙ্গীতাঙ্গনের,ʃɔŋgit̪aŋgoner
খারাপ,kʰarap
সময়কে,ʃɔmɔʲke
দায়ী,d̪aʲi
করেছেন,korecʰen
তিনি,t̪ini
ওই,o͡i̯
মামলায়,mamlaʲ
তাকে,t̪ake
গ্রেফতার,grepʰt̪ar
দেখানো,d̪ækʰano
হয়েছে,hoʲecʰe
এরপরও,erpɔro
ওয়াং,oʷaŋ
ই,i
বলেছেন,bolecʰen
শান্তির,ʃant̪ir
প্রতি,prot̪i
চীন,cin
প্রতিশ্রুতিবদ্ধ,prot̪isrut̪ibɔd̪d̪ʱo
থাকবে,t̪ʰakbe
পরে,pɔre
জুভেন্টাসে,ɟubʱentase
যোগ,ɟog
দিয়ে,d̪iʲe
আরও,arɔ͡o̯
চারটি,carti
লীগ,lig
শিরোপার,ʃiropar
স্বাদ,ʃad̪
পান,pan
এই,e͡i̯
মিডফিল্ডার,midpʰildar
বিভিন্ন,bibʱinno
স্টেডিয়ামে,stediʲame
ফ্লাডলাইট,pʰladla͡i̯t
চেয়ার,ceʲar
স্থাপন,st̪ʰapon
ডিজিটাল,diɟital
ডিসপ্লে,disple
ও,o
স্কোর,skor
বোর্ড,bord
বসানো,bɔʃano
হয়েছিল,hoʲecʰilo
তাদের,t̪ad̪er
অভিযোগ,obʱiɟog
ছাত্রদলের,cʰat̪rod̪ɔler
কমিটিতে,kɔmitit̪e
নাম,nam
ছাত্রলীগের,cʰat̪roliger
রাজনীতি,raɟnit̪i
থেকে,t̪ʰeke
নিষ্ক্রিয়,niʃkriʲo
করতেই,kort̪e͡i̯
এমনটি,æmonti
করা,kɔra
বৃহস্পতিবার,brihospot̪ibar
সংক্রান্ত,ʃɔŋkrant̪o
আদেশ,ad̪eʃ
জারি,ɟari
করেছে,korecʰe
জনপ্রশাসন,ɟɔnoproʃaʃon
মন্ত্রণালয়,mɔnt̪ronalɔʲ
বিশেষ,biʃeʃ
অতিথি,ot̪it̪i
এফএম,epʰem
ইকবাল,ikbal
বিন,bin
আনোয়ার,anoʷar
ডন,dɔn
অ্যাডিশনাল,ædiʃnal
ডাইরেক্টরগেমস,da͡i̯rektɔrgemɔʃ
অ্যান্ড,ænd
স্পোর্টস,sports
ডিপার্টমেন্ট,dipartoment
ওয়ালটন,oʷaltɔn
তবে,t̪ɔbe
ছোট,cʰoto
শিখা,ʃikʰa
জ্বলছে,ɟɔlcʰe
এবং,eboŋ
বিস্ফোরণ,biʃpʰoron
অব্যাহত,ɔbbahɔt̪o
থাকায়,t̪ʰakaʲ
আতংক,at̪ɔŋk
বিরাজ,biraɟ
করছে,korcʰe
বড়,bɔɽo
একটি,ekti
গাছের,gacʰer
সঙ্গে,ʃɔŋge
আটকে,atke
যাওয়ায়,ɟa͡o̯ʷaʲ
ধরনের,d̪ʱɔroner
দুর্ঘটনা,d̪urgʱɔtona
হতে,hot̪e
বাসটি,baʃti
রক্ষা,rokkʰa
পায়,paʲ
বিষয়টি,biʃɔʲti
এতিমখানায়,et̪imɔkʰanaʲ
জানাজানি,ɟanaɟani
হলে,hole
কমিটি,kɔmiti
শিক্ষককে,ʃikkʰɔkke
এলাকা,elaka
ছাড়া,cʰaɽa
করে,kore
স্টেশন,steʃon
ট্রেনটি,trenti
ছেড়ে,cʰeɽe
দিলে,d̪ile
অনান্যরা,ɔnannora
নেমে,neme
যেতে,ɟet̪e
পারলেও,parle͡o̯
সে,ʃe
আর,ar
নামতে,namt̪e
পারেনি,pareni
নিয়ে,niʲe
বিবাদে,bibad̪e
২০১৫,2015
সালের,saler
২,2
জুন,ɟun
রাত,rat̪
সাড়ে,ʃaɽe
১১টায়,11taʲ
চাচা,caca
সুশীল,ʃuʃil
দাসকে,d̪aʃke
কুপিয়ে,kupiʲe
জখম,ɟɔkʰom
করে,kore
সে,ʃe
সেই,ʃe͡i̯
অভিজ্ঞতার,obʱiggot̪ar
আলোকে,aloke
তারা,t̪ara
মিয়ানমারে,miʲanmare
রোহিঙ্গাদের,rohiŋgad̪er
পুনর্বাসনের,punorbaʃoner
নির্দেশনা,nird̪eʃona
দিতে,d̪it̪e
পারে,pare
ভালো,bʱalo
দলের,d̪ɔler
খেলা,kʰela
দর,d̪ɔr
কষাকষিটা,kɔʃakoʃita
হয়,hɔʲ
ভিন্নভাবে,bʱinnobʱabe
আজ,aɟ
১৪,14
বছর,bɔcʰor
আগে,age
তিনি,t̪ini
চলে,cɔle
গেছেন,gecʰen
না,na
ফেরার,pʰerar
দেশে,d̪eʃe
নিহত,nihɔt̪o
ব্যক্তি,bekt̪i
কুতপালং,kut̪paloŋ
টালের,taler
ই-২,i-2
ব্লকের,bloker
আবুল,abul
বাছেদ,bacʰed̪
৪০,40
সদ্য,ʃod̪d̪o
ব্যবস্থাপনা,bæbost̪ʰapona
পরিচালকের,poricalker
দায়িত্ব,d̪aʲit̪t̪o
পাওয়া,pa͡o̯ʷa
প্রকৌশলী,proko͡u̯ʃoli
হাবিব,habib
উদ্দীন,ud̪d̪in
আহমেদ,ahomed̪
নিশ্চিত,niʃcit̪o
করেছেন,korecʰen
সংক্ষিপ্ত,ʃɔŋkkʰipt̪o
স্কোরশ্রীলংকা,skorɔsrilŋka
প্রথম,prot̪ʰom
ইনিংস,iniŋʃo
৪৮২,482
করুনারত্নে,korunarɔt̪ne
১৯৬,196
চান্দিমাল,cand̪imal
৬২,62
ডিকভেলা,dikbʱela
৫২,52
পেরেরা,perera
৫৮,58
এগুলোর,egulor
মধ্যে,mod̪d̪ʱe
সাজ্জাদ,ʃaɟɟad̪
হোসেনের,hosener
নন,nɔn
স্টপ,stɔp
আশুতোষ,aʃut̪oʃ
সুজনের,ʃuɟɔner
এই,e͡i̯
শহরে,ʃɔhore
রুলিন,rulin
রহমানের,rɔhɔmaner
রোড,rod
নাম্বার-৭,nambar-7
বাসা,baʃa
নাম্বার-১৩,nambar-13
জব্দ,ɟɔbd̪o
মাদকসহ,mad̪okʃɔho
ট্রলারের,trolarer
মূল্য,mullo
আট,at
লাখ,lakʰ
৫২,52
হাজার,haɟar
টাকা,taka
বলে,bole
জানান,ɟanan
সময়,ʃɔmɔʲ
মেয়রের,meʲorer
শারীরিক,ʃaririk
অবস্থার,ɔbost̪ʰar
খোঁজখবর,kʰe͡ã̯ɟkʰɔbɔr
নেন,nen
তাই,t̪a͡i̯
দেখতে,d̪ekʰt̪e
পারিনি,parini
কোনদিক,kond̪ik
সূর্য,ʃurɟo
উঠেছে,utʰecʰe
দুর্গাপুর,d̪urgapur
থানার,t̪ʰanar
পুলিশ,puliʃ
চালভর্তি,calbʱort̪i
ট্রাক,trak
দুটি,d̪uti
করেন,kɔren
প্রধানমন্ত্রী,prod̪ʱanmont̪ri
শেখ,ʃekʰo
হাসিনা,haʃina
সংগ্রামের,ʃɔŋgramer
সমর্থন,ʃɔmort̪ʰon
জানিয়েছেন,ɟaniʲecʰen
অকুণ্ঠ,ɔkuntʰo
উল্লেখ্য,ullekkʰo
বিল,bil
ক্লিনটনের,klintɔner
প্রতিষ্ঠিত,prot̪iʃtʰit̪o
ক্লিনটন,klintɔn
ফাউন্ডেশনের,pʰa͡u̯ndeʃoner
একজন,ækɟon
দাতা,d̪at̪a
ড,d
ইউনূস,i͡u̯nus
বৈঠকে,bo͡i̯tʰoke
পারস্পরিক,paroʃporik
সহযোগিতা,ʃɔhoɟogit̪a
সন্ত্রাসবাদ,ʃɔnt̪raʃbad̪
প্রতিরোধে,prot̪irod̪ʱe
ঐক্যমত,o͡i̯kkomɔt̪o
পোষন,poʃon
আশঙ্কা,aʃoŋka
এড়ানোও,eɽano͡o̯
পদক্ষেপ,pɔd̪okkʰep
নেয়ার,neʲar
অন্যতম,ɔnnot̪ɔmo
কারণ,karon
ট্রাম্প,tramp
রমনির,rɔmonir
নৈশভোজের,no͡i̯ʃɔbʱoɟer
মেন্যু,mennu
ছিল,cʰilo
গার্লিকের,garliker
স্যুপ,sʃup
ব্যাঙের,bæŋer
পা,pa
কলিফ্লাওয়ার,kolipʰla͡o̯ʷar
গাজর,gaɟor
মাশরুমের,maʃrumer
সস,ʃɔʃ
চকোলেট,cɔkolet
কেক,kek
এছাড়া,ecʰaɽa
সামনে,ʃamne
কোনো,kono
বিকল্প,bikɔlpo
নেই,ne͡i̯
জালাল,ɟalal
ইউনুস,i͡u̯nuʃ
বলেন,bɔlen
মুস্তাফিজ,muʃt̪apʰiɟ
ইংল্যান্ডে,iŋlænde
আছে,acʰe
মুহাম্মদ,muhammɔd̪
নবী,nobi
নয়,nɔʲ
সারাজীবন,ʃaraɟibɔn
মানুষের,manuʃer
সেবায়,ʃebaʲ
নিজেকে,niɟeke
নিয়োজিত,niʲoɟit̪o
রাখতে,rakʰt̪e
চাই,ca͡i̯
ছিলেন,cʰilen
জাতীয়,ɟat̪iʲo
পার্টির,partir
ভাইস,bʱa͡i̯ʃ
চেয়ারম্যান,ceʲarmæn
অ্যাডভোকেট,ædbʱoket
গিয়াস,giʲas
উদ্দিন,ud̪d̪in
বাহাউদ্দিন,baha͡u̯d̪d̪in
আহম্মেদ,ahmmed̪
বাবুল,babul
যুগ্ম-দফতর,ɟugmo-d̪ɔmɔt̪or
সম্পাদক,ʃɔmpad̪ok
এমএ,eme
রাজ্জাক,raɟɟak
খান,kʰan
প্রমুখ,promukʰo
প্রশিক্ষণের,proʃikkʰoner
জন্য,ɟonno
উপকরণ,upokɔron
দীর্ঘদিন,d̪irgʱod̪in
যাবত,ɟabot̪
সরবরাহ,ʃɔrbɔrah
হচ্ছে,hoccʰe
না,na
এতে,et̪e
মাদক,mad̪ok
অনৈতিক,ɔno͡i̯t̪ik
কাজ,kaɟ
তরুণ,t̪orun
প্রজম্ম,proɟɔmmo
দূরে,d̪ure
এটাকে,etake
