Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
লেখিয়্যা,lekʰiʲt̪a,আটাইশ,ata͡i̯ʃ,যেত্তে,ɟet̪t̪e,তারা,t̪ara,আমি,ami
কালি,kali,করছিলাম,korcʰilam,টাইম,ta͡i̯m,তো,t̪o,তো,t̪o
দিয়্যা,d̪ikt̪a,দের,d̪er,ফায়,pʰaʲ,ওই,o͡i̯,চইলে,co͡i̯le
সেই,ʃe͡i̯,কানি,kani,এত্তে,æt̪t̪e,খারাপ,kʰarap,আসলাম,aʃlam
সুন্দর,ʃund̪ɔr,ক্ষেত,kʰet̪,এ,e,খেইলাই,kʰe͡i̯la͡i̯,তুমারে,t̪umare
করিয়া,koriʲa,ইবার,ibar,দুনোউয়ারে,d̪uno͡u̯ʲare,আসে,aʃe,মনে,mone
এখন,ækʰon,মাইর,ma͡i̯r,অফমান,ɔpʰɔman,না,na,করো,koro
সমায়,ʃɔmaʲ,কাইছি,ka͡i̯cʰi,গরে,gore,ভালো,bʱalo,যে,ɟe
তো,t̪o,মাত্র,mat̪ro,ইতেরা,it̪era,লিগগুলাতে,liggulat̪e,এর,er
মনে,mone,অইছে,e͡i̯cʰe,সি,si,খেলে,kʰele,মধ্যি,mod̪d̪ʱi
কর,kɔr,দশ,d̪ɔʃ,আর,ar,ডোমিস্টিকে,domistike,কাইলকে,ka͡i̯lke
সিরাজেরা,ʃiraɟera,এগারো,ægaro,অইয়্যে,ɔ͡i̯kt̪e,পরেই,pɔre͡i̯,ফোন,pʰon
আছিল,acʰilo,আডাইশ,ada͡i̯ʃ,ইতারা,it̪ara,ওদেরকে,od̪erke,দিলাম,d̪ilam
ব্রাজিল,braɟil,করছুইন,korcʰu͡i̯n,গইরতু,girt̪u,জাতীয়,ɟat̪iʲo,তুমি,t̪umi
ওয়,oʲ,না,na,ন,n,দলে,d̪ɔle,কলা,kɔla
সাপোর্ট,ʃaport,হ,ho,ক্যায়া,kæʲa,ডাকা,daka,আসতিছি,aʃt̪icʰi
করছিল,korcʰilo,তে,t̪e,মানে,mane,হয়,hɔʲ,পরে,pɔre
হ,ho,যে,ɟe,ইতারার,it̪arar,হ,ho,আসলানা,aʃlana
একটা,ækta,করছিলাইন,korcʰila͡i̯n,খাতা,kʰat̪a,কিন্তু,kint̪u,এজন্যি,eɟonni
ফিল্ডিং,pʰildiŋ,এডার,edar,দেহে,d̪ehe,কী,ki,হ,ho
গ্রুপ,grup,বুদ্দি,bud̪d̪i,দে,d̪e,করবি,korbi,ওইদিন,o͡i̯d̪in
ছিলো,cʰilo,দিছিন,d̪icʰin,ত্রিশের,t̪riʃer,ক,k,আসি,aʃi
ওরে,ore,কেলা,kela,মধ্যে,mod̪d̪ʱe,প্লেয়ার,pleʲar,নেই,ne͡i̯
কতা,kɔt̪a,আরে,are,এগারো,ægaro,আর,ar,ঝামেলায়,ɟʱamelaʲ
বুজচি,buɟci,কইন,ko͡i̯n,দশ,d̪ɔʃ,একটা,ækta,পড়িছিলাম,poɽicʰilam
বিষয়টা,biʃɔʲta,এক,æk,দুই,d̪u͡i̯,দুইটা,d̪u͡i̯ta,এট্টু,ettu
এখনও,ækʰono,ফাগলা,pʰagla,তিন,t̪in,অনেক,ɔnek,যাক,ɟak
বেরাজিল,beraɟil,বালোইবো,balo͡i̯bo,খয়দে,kʰɔʲd̪e,কারে,kare,ঝামেলা,ɟʱamela
বেরাজিলের,beraɟiler,লগে,lɔge,সিআরের,si͡a̯rer,রাইখা,ra͡i̯kʰa,গেছে,gecʰe
করে,kore,খাতির,kʰat̪ir,এইল্লা,e͡i̯lla,সুযোগ,ʃuɟog,যাই,ɟa͡i̯
সিডায়,ʃidaʲ,বাইঙ্গা,ba͡i̯ŋga,কি,ki,দিবো,d̪ibo,হোক,hok
ওই,o͡i̯,দিছি,d̪icʰi,অবস্থা,ɔbost̪ʰa,এটা,eta,আসো,aʃo
আমরা,amra,দিছুইন,d̪icʰu͡i̯n,ছি,cʰi,ইন্ডিয়ার,indiʲar,সাবধানে,ʃabd̪ʱane
কানির,kanir,এলাই,ela͡i̯,খইয়্যে,kʰo͡i̯ʲt̪e,মতো,mɔt̪o,ঝামেলা-টামেলা,ɟʱamela-tamela
রুমটাত,rumtat̪,তো,t̪o,তো,t̪o,হইয়া,ho͡i̯ʲa,ভাই,bʱa͡i̯
যকন,ɟɔkon,আন্নের,anner,হালার,halar,গেলো,gelo,ওই,o͡i̯
আছনো,acʰono,সব্বনাশ,ʃɔbbonaʃ,ঠিকই,tʰiki,এখন,ækʰon,সারতি,ʃart̪i
একসাতে,ækʃat̪e,কইরা,ko͡i̯ra,আছে,acʰe,ইন্ডিয়াতে,indiʲat̪e,দিছিলাম,d̪icʰilam
কী,ki,দিছে,d̪icʰe,কিন্তু,kint̪u,যেমন,ɟæmon,জন্যি,ɟonni
ইয়্যা,iʲla,অক্করে,ɔkkore,তোঁয়ারার,t̪õʷarar,একবার,ækbar,দুকানে,d̪ukane
হইছিল,ho͡i̯cʰilo,ফাডে,pʰade,লাই,la͡i̯,বসলে,boʃole,ছিলাম,cʰilam
যে,ɟe,মাইরালাইছে,ma͡i̯rala͡i̯cʰe,এহন,ehon,খুব,kʰub,তালি,t̪ali
সুমন,ʃumɔn,আমারে,amare,খষ্ট,kʰɔʃto,সহজে,ʃɔhoɟe,সমস্যা,ʃɔmoʃʃa
আর,ar,এ,e,অই,ɔ͡i̯,ঢুকতে,dʱukt̪e,আছো,acʰo
হইলো,ho͡i̯lo,মানে,mane,গিয়্যে,gikt̪e,কষ্ট,koʃto,বাড়ি,baɽi
আলম,alom,যারা,ɟara,মনে,mone,বাংলাদেশেও,baŋlad̪eʃe͡o̯,তাই,t̪a͡i̯
জামাই,ɟama͡i̯,এমুন,emun,গরো,gɔro,এরকমই,erokomi,না,na
তিনজন,t̪inɟɔn,ইয়া,iʲa,ওকগো,okogo,হইতাছে,ho͡i̯t̪acʰe,আছি,acʰi
ছিলাম,cʰilam,হরে,hore,হেল্পিং,helpiŋ,বাংলাদেশ,baŋlad̪eʃ,ঈদ,id̪
যেমন,ɟæmon,এও,e͡o̯,হ্যান্ড,hænd,ইদানিং,id̪aniŋ,পর্যন্ত,porɟont̪o
সিরাজ,ʃiraɟ,ফুরছে,pʰurcʰe,ভার্সিটির,bʱarsitir,খেলতেছে,kʰelt̪ecʰe,ঈদির,id̪ir
আমি,ami,ফরে,pʰɔre,মইদ্দ্যে,mo͡i̯d̪d̪e,সবাই,ʃɔba͡i̯,যাবা,ɟaba
তুই,t̪u͡i̯,আম্নের,amner,ইতে,it̪e,এই,e͡i̯,কোনোজাগা,konoɟaga
পাশাপাশি,paʃapaʃi,ধান,d̪ʱan,বেয়াক,beʲak,মাঝখানে,maɟʱkʰane,বেরোয়,beroʲ
আমার,amar,বেশি,beʃi,কিছু,kicʰu,শুধু,ʃud̪ʱu,যাব,ɟabo
সাতে,ʃat̪e,ভালইছে,bʱalicʰe,দিবু,d̪ibu,আফিফ,apʰipʰ,কি,ki
সুমনও,ʃumɔno,আমার,amar,ইতেই,it̪e͡i̯,ফর্ম,pʰɔrm,কাজ-বাজ,kaɟ-baɟ
তারপর,t̪arpɔr,একদম,ækd̪ɔm,যদি,ɟod̪i,হারায়া,haraʲa,এই,e͡i̯
রানা,rana,খারাপ,kʰarap,তাইলে,t̪a͡i̯le,ফেলছে,pʰelcʰe,বরিশাল,boriʃal
জসিম,ɟoʃim,ও,o,সমস্যা,ʃɔmoʃʃa,অনে,ɔne,যাতি,ɟat̪i
জাকারিয়া,ɟakariʲa,আইচ্ছা,a͡i̯ccʰa,আঁরার,ãrar,আফিফরে,apʰipʰɔre,হতি,hot̪i
এরা,era,এই,e͡i̯,সিআর,si͡a̯r,বসাইয়া,bɔʃa͡i̯ʲa,পারে,pare
কয়েকঝনের,kɔʲekdʱɔner,কি,ki,এইগিন,e͡i̯gin,দিছে,d̪icʰe,ওইয,o͡i̯ɟ
নাম,nam,আরো,aro,ক্লাস,klas,অয়,ɔʲ,এ,e
দিছলাম,d̪icʰlam,করবাইন,korba͡i̯n,এটেন্ড,etend,যহন,ɟɔhon,ইসির,isir
ওটে,ote,নাহ,nah,ইয়্যানই,iʲani,ঢুকছে,dʱukcʰe,লাইন,la͡i̯n
ওরা,ora,আর,ar,ইয়্যিম,ikim,তহন,t̪ɔhon,চোহি,cohi
লোক,lok,জীবনে,ɟibone,আইসতু,a͡i̯ʃt̪u,থেইকা,t̪ʰe͡i̯ka,দেখতি,d̪ekʰt̪i
ভালো,bʱalo,করব,korbo,চায়,caʲ,খেলছে,kʰelcʰe,ফারে,pʰare
না,na,আমি,ami,খাম,kʰam,তবে,t̪ɔbe,মানে,mane
খারাপ,kʰarap,আধকানি,ad̪ʱkani,ঘাড়র,gʱaɽor,মামা,mama,দুই,d̪u͡i̯
আপা,apa,খেতের,kʰet̪er,উরদি,urd̪i,বাংলাদেশের,baŋlad̪eʃer,ছিটকে,cʰitke
কেমন,kæmon,মাড়াইছি,maɽa͡i̯cʰi,চাপাই,capa͡i̯,মধ্যে,mod̪d̪ʱe,যায়,ɟaʲ
আচেন,acen,তিরিশ,t̪iriʃ,দেয়,d̪eʲ,মাশরাফিরে,maʃrapʰire,দ্যাহার,d̪æhar
আচোং,acoŋ,আদকানি,ad̪kani,খতা,kʰɔt̪a,মিস,mis,সাথে,ʃat̪ʰe
