words,ipa
যেত্তে,ɟet̪t̪e
টাইম,ta͡i̯m
ফায়,pʰaʲ
এত্তে,æt̪t̪e
এ,e
দুনোউয়ারে,d̪uno͡u̯ʲare
অফমান,ɔpʰɔman
গরে,gore
ইতেরা,it̪era
সি,si
আর,ar
অইয়্যে,ɔ͡i̯kt̪e
ইতারা,it̪ara
গইরতু,girt̪u
ন,n
ক্যায়া,kæʲa
মানে,mane
ইতারার,it̪arar
খাতা,kʰat̪a
দেহে,d̪ehe
দে,d̪e
ত্রিশের,t̪riʃer
মধ্যে,mod̪d̪ʱe
এগারো,ægaro
দশ,d̪ɔʃ
দুই,d̪u͡i̯
তিন,t̪in
খয়দে,kʰɔʲd̪e
সিআরের,si͡a̯rer
এইল্লা,e͡i̯lla
কি,ki
অবস্থা,ɔbost̪ʰa
ছি,cʰi
খইয়্যে,kʰo͡i̯ʲt̪e
তো,t̪o
হালার,halar
ঠিকই,tʰiki
আছে,acʰe
কিন্তু,kint̪u
তোঁয়ারার,t̪õʷarar
লাই,la͡i̯
এহন,ehon
খষ্ট,kʰɔʃto
অই,ɔ͡i̯
গিয়্যে,gikt̪e
মনে,mone
গরো,gɔro
ওকগো,okogo
হেল্পিং,helpiŋ
হ্যান্ড,hænd
ভার্সিটির,bʱarsitir
মইদ্দ্যে,mo͡i̯d̪d̪e
ইতে,it̪e
বেয়াক,beʲak
কিছু,kicʰu
দিবু,d̪ibu
ইতেই,it̪e͡i̯
যদি,ɟod̪i
তাইলে,t̪a͡i̯le
সমস্যা,ʃɔmoʃʃa
আঁরার,ãrar
সিআর,si͡a̯r
এইগিন,e͡i̯gin
ক্লাস,klas
এটেন্ড,etend
ইয়্যানই,iʲani
ইয়্যিম,ikim
আইসতু,a͡i̯ʃt̪u
চায়,caʲ
খাম,kʰam
ঘাড়র,gʱaɽor
উরদি,urd̪i
চাপাই,capa͡i̯
দেয়,d̪eʲ
খতা,kʰɔt̪a
অইয়্যেদে,ɔ͡i̯kd̪ʱed̪e
আঁরা,ãra
ইয়্যিন,ikin
জানি,ɟani
টাম,tam
কেইল্লা,ke͡i̯lla
গরি,gori
কী,ki
আলাদা,alad̪a
স্যারের,særer
তুন,t̪un
যাইয়েরে,ɟa͡i̯ʲere
ইয়্যান,iʲæn
কালেক্ট,kalektɔ
গরিবু,goribu
আঁরারে,ãrare
বাজাই,baɟa͡i̯
দিয়্যেনে,d̪iklene
যায়গুই,ɟaʲgu͡i̯
ফিছাই,pʰicʰa͡i̯
যিগুই,ɟigu͡i̯
বি,bi
সেকশনের,ʃekʃoner
সেকশন,ʃekʃon
দেহি,d̪ehi
যাইয়্যেনে,ɟa͡i̯ʲd̪ʱene
আরও,arɔ͡o̯
চাইর,ca͡i̯r
ধাপ,d̪ʱap
ফরা,pʰɔra
আগাই,aga͡i̯
গেইয়্যেগই,ge͡i̯ʲegi
এডে,ede
তে,t̪e
দিনের,d̪iner
আগের,ager
আইজু,a͡i̯ɟu
জিনিসপত্র,ɟiniʃpɔt̪ro
জীবন,ɟibɔn
সাইরদি,sa͡i̯rod̪i
আঁই,ãi
দংশ,d̪ɔŋʃo
বউত,bɔ͡u̯t̪o
অয়,ɔʲ
ইভেন,ibʱen
ক্লাসত,klaʃɔt̪o
ফরাটরা,pʰɔratra
গেলে,gele
গইরজম,go͡i̯roɟɔm
থাহে,t̪ʰahe
যাই,ɟa͡i̯
এইদিন,e͡i̯d̪in
কেয়ামত,keʲamɔt̪
ফাইউম,pʰa͡i̯um
আল্লাহ,allah
ক্লাসের,klaser
অন্য,ɔnno
মানুষ,manuʃ
যারা,ɟara
যায়,ɟaʲ
ইয়্যিনের,ikiner
ফুছর,pʰucʰɔr
গরিয়েনে,goriʲene
লওন,lɔ͡o̯n
ফরিবু,pʰoribu
যাইতু,ɟa͡i̯t̪u
গ্যারান্টি,gæranti
দি,d̪i
খইত,kʰo͡i̯t̪o
ফাইরজুম,pʰa͡i̯rɟum
গেইলেও,ge͡i̯le͡o̯
খাতাত,kʰat̪at̪
থাইবু,t̪ʰa͡i̯bu
ইতারে,it̪are
ফুসার,pʰuʃar
তুসার,t̪uʃar
নঅগরো,nɔ͡ɔ̯gɔro
এগিন,egin
এগিনোর,eginor
হাতাত,hat̪at̪
নামবার,nambar
নাই,na͡i̯
ইনোর,inor
প্রেজেনটেশনত,preɟenteʃonɔt̪
একসট্রা,ækʃotra
কারিকুলামত,karikulamɔt̪
আরার,arar
ভারসিটির,bʱarsitir
বেক,bek
কিসুত,kiʃut̪
কমপিটিশন,kompitiʃon
এনে,ene
এই,e͡i̯
জায়গাতো,ɟaʲgat̪o
ইয়ান,iʲan
দাম,d̪am
জাগাত,ɟagat̪
ফারে,pʰare
বুঝের,buɟʱer
সাধারণ,ʃad̪ʱaron
এক্কান,ækkan
তোঁয়ার,t̪õʲar
ইয়া,iʲa
প্রজেক্টেরের,proɟekterer
কম্পিউটার,kɔmpi͡u̯tar
গান,gan
অন,ɔn
গরিয়ানে,goriʲane
চাপে,cape
মাউস,ma͡u̯s
দিয়েনে,d̪iʲene
দুনোউয়ান,d̪uno͡u̯ʲan
ও,o
মানলাম,manlam
মাইয়াফোয়া,ma͡i̯ʲapʰoʷa
জানে,ɟane
ইতি,it̪i
অক্কল,ɔkkol
আঁইও,ãi͡o̯
ফারি,pʰari
হিসেবে,hiʃebe
উইতি,u͡i̯t̪i
কেন,keno
ফোয়া,pʰoʷa
অইয়্যেনে,ɔ͡i̯kd̪ʱene
ক্যানে,kæne
বইন,bo͡i̯n
খইয়্যুম,kʰo͡i̯ʲd̪ʱum
নমুনা,nomuna
আসলেও,aʃole͡o̯
ইয়্যুনরে,iʲunɔre
ধরিয়েনে,d̪ʱoriʲene
জাদুঘরে,ɟad̪ugʱɔre
রাহন,rahon
যাইবু,ɟa͡i̯bu
অইলে,æ͡i̯le
ধ্বংস,d̪ʱɔŋʃo
কিল্লাই,killa͡i̯
ইতার,it̪ar
হাতে,hat̪e
ফুরা,pʰura
ডিপেন্ড,dipend
আরকি,arɔki
সিআরে,si͡a̯re
তসেমিস্টার,t̪ɔʃemistar
শেষ,ʃeʃ
নতুন,not̪un
সেমিস্টার,ʃemistar
অইবো,ɔ͡i̯bo
দিবো,d̪ibo
ঠিক,tʰik
খইরদি,kʰo͡i̯rd̪i
যাতে,ɟat̪e
জিন্দেগীত,ɟind̪egit̪
ত্যানাত্যানা,t̪ænat̪t̪ana
বানাই,bana͡i̯
ফালাইয়্যে,pʰala͡i̯ʲt̪e
দিয়্যি,d̪ikd̪i
না,na
এইল্লাত,e͡i̯llat̪o
তোঁয়ারা,t̪õʷara
খইবা,kʰo͡i̯ba
লটারি,lɔtari
সিস্টেমে,ʃisteme
যারার,ɟarar
ফরের,pʰɔrer
সাইরদে,sa͡i̯rd̪e
ফিছের,pʰicʰer
দেহেন,d̪ehen
অনে,ɔne
গরন,gɔron
দওন,d̪ɔ͡o̯n
বাছাই,bacʰa͡i̯
লই,lɔ͡i̯
কিতারে,kit̪are
দেওন,d̪æ͡o̯n
কিতে,kit̪e
ভালা,bʱala
গরিবো,goribo
ইবে,ibe
খই,kʰo͡i̯
সাইততারো,sa͡i̯t̪ɔt̪aro
বেয়াকে,beʲake
খইয়্যেদে,kʰo͡i̯ʲd̪ʱed̪e
নাকি,naki
ক্লাসরুম,klaʃrum
ম্যানটেইন,mænte͡i̯n
অ,ɔ
সিআরই,si͡a̯ri
উলটা,ulta
পরিমাণ,poriman
পরিশ্রম,porisrɔm
