words,ipa
আটাইশ,ata͡i̯ʃ
করছিলাম,korcʰilam
দের,d̪er
কানি,kani
ক্ষেত,kʰet̪
ইবার,ibar
মাইর,ma͡i̯r
কাইছি,ka͡i̯cʰi
মাত্র,mat̪ro
অইছে,e͡i̯cʰe
দশ,d̪ɔʃ
এগারো,ægaro
আডাইশ,ada͡i̯ʃ
করছুইন,korcʰu͡i̯n
না,na
হ,ho
তে,t̪e
যে,ɟe
করছিলাইন,korcʰila͡i̯n
এডার,edar
বুদ্দি,bud̪d̪i
দিছিন,d̪icʰin
কেলা,kela
আরে,are
কইন,ko͡i̯n
এক,æk
ফাগলা,pʰagla
বালোইবো,balo͡i̯bo
লগে,lɔge
খাতির,kʰat̪ir
বাইঙ্গা,ba͡i̯ŋga
দিছি,d̪icʰi
দিছুইন,d̪icʰu͡i̯n
এলাই,ela͡i̯
তো,t̪o
আন্নের,anner
সব্বনাশ,ʃɔbbonaʃ
কইরা,ko͡i̯ra
দিছে,d̪icʰe
অক্করে,ɔkkore
ফাডে,pʰade
মাইরালাইছে,ma͡i̯rala͡i̯cʰe
আমারে,amare
এ,e
মানে,mane
যারা,ɟara
এমুন,emun
ইয়া,iʲa
হরে,hore
এও,e͡o̯
ফুরছে,pʰurcʰe
ফরে,pʰɔre
আম্নের,amner
ধান,d̪ʱan
বেশি,beʃi
ভালইছে,bʱalicʰe
আমার,amar
একদম,ækd̪ɔm
খারাপ,kʰarap
ও,o
আইচ্ছা,a͡i̯ccʰa
এই,e͡i̯
কি,ki
আরো,aro
করবাইন,korba͡i̯n
নাহ,nah
আর,ar
জীবনে,ɟibone
করব,korbo
আমি,ami
আধকানি,ad̪ʱkani
খেতের,kʰet̪er
মাড়াইছি,maɽa͡i̯cʰi
তিরিশ,t̪iriʃ
আদকানি,ad̪kani
খেত,kʰet̪
হাইবিড,ha͡i̯bid
মাড়াইছুইন,maɽa͡i̯cʰu͡i̯n
এইবার,e͡i̯bar
সাতাত্তুর,ʃat̪at̪t̪ur
রুইছি,ru͡i̯cʰi
হেত,het̪
মন,mon
ফাইছি,pʰa͡i̯cʰi
এইডা,e͡i̯da
পথম,pɔt̪ʰom
মাইনসে,ma͡i̯nʃe
করছে,korcʰe
মানসে,manʃe
দেহাদেহি,d̪ehad̪ehi
অনেক,ɔnek
দারো,d̪aro
আসে,aʃe
যায়,ɟaʲ
কাডাহান্তা,kadahant̪a
অইয়া,ɔ͡i̯ʲa
আইছি,a͡i̯cʰi
ইক্টু,iktu
দরহার,d̪ɔrhar
আছে,acʰe
এইনো,e͡i̯no
একজনেরটে,ækɟonerte
ফইঞ্চাশ,pʰɔ͡i̯ncaʃ
আজার,aɟar
টেহা,teha
ফায়াম,pʰaʲam
দেওনের,d̪e͡o̯ner
আইজ্জো,a͡i̯ɟɟo
তারিক,t̪arik
আইচ্চা,a͡i̯cca
অহন,ɔhon
দিবো,d̪ibo
নাকি,naki
যাইতেছি,ɟa͡i̯t̪ecʰi
হ্যাঁ,hæ̃
যাইতাছি,ɟa͡i̯t̪acʰi
গিয়া,giʲa
দেহি,d̪ehi
যাইতাছুইন,ɟa͡i̯t̪acʰu͡i̯n
ফাব্দা,pʰabd̪a
গাছগুলা,gacʰgula
লাগাইছে,laga͡i̯cʰe
হেই,he͡i̯
বাড়ির,baɽir
রইছ,ro͡i̯cʰo
উদ্দির,ud̪d̪ir
নাতি,nat̪i
বালা,bala
লুক,luk
একের,æker
লাব,lab
খোতি,kʰot̪i
জানিনা,ɟanina
কেজুর,keɟur
গাছ,gacʰ
দেহা,d̪eha
যা,ɟa
ছাইছলাম,cʰa͡i̯cʰɔlam
হবরি,hɔbori
কলা,kɔla
রুইতাম,ru͡i̯t̪am
কিমুন,kimun
অইবো,ɔ͡i̯bo
রুইয়াম,ru͡i̯ʲam
বাগান,bagan
বাড়িরতে,baɽirot̪e
ছাড়া,cʰaɽa
আনবাম,anbam
এক্কানো,ækkano
ফিশারি,pʰiʃari
সত্তুর,ʃɔt̪t̪ur
ক্ষেতের,kʰet̪er
কুহানো,kuhano
বাড়িত,baɽit̪o
ফিশারির,pʰiʃarir
মাইদ্দে,ma͡i̯d̪d̪e
রুউবাইন,ru͡u̯ba͡i̯n
কানিতে,kanit̪e
রুইছে,ru͡i̯cʰe
হেয়ান্তে,heʲant̪e
উরগায়া,urgaʲa
আনবো,anbo
আন্নে,anne
চারা,cara
আম্নেরে,amnere
ফ্রিতে,pʰrit̪e
এম্নেতেই,emnet̪e͡i̯
আনবাইন,anba͡i̯n
এম্নেতে,emnet̪e
একটা,ækta
তুমারে,t̪umare
কইলো,ko͡i̯lo
অইলে,æ͡i̯le
দন্নবাদ,d̪ɔnnobad̪
দে,d̪e
জানায়,ɟanaʲ
তুমি,t̪umi
বুলে,bule
ফিকনিহের,pʰikniher
আয়োজন,aʲoɟon
তহন,t̪ɔhon
কইছলা,ko͡i̯cʰɔla
ইমরাইন্না,imra͡i̯nna
কারে,kare
ক,k
মুশারপ,muʃarp
কেল্লে,kelle
হুইন্না,hu͡i̯nna
বাল্লাগলো,ballaglo
বেন,ben
কইছিন,ko͡i̯cʰin
ইমরাইন্নাই,imra͡i̯nna͡i̯
কইছে,ko͡i̯cʰe
ইমরানরে,imranore
যহন,ɟɔhon
সিলেট,silet
যাইতাম,ɟa͡i̯t̪am
বইরো,bo͡i̯ro
ইয়াও,iʲa͡o̯
কিশোরগঞ্জ,kiʃorgɔnɟ
ফায়ার,pʰaʲar
সার্বিসের,ʃarbiʃer
স্টেশনো,steʃono
যায়ামগা,ɟaʲamga
কোর্স,kors
করার,kɔrar
লাইজ্ঞা,la͡i̯gga
কইছি,ko͡i̯cʰi
``,``
স্যার,sær
ইমরান,imran
মুশারপরে,muʃarpɔre
ফাডাইন,pʰada͡i̯n
দুইজন,d̪u͡i̯ɟɔn
ক্লোজ,kloɟ
বন্দু,bond̪u
একলগে,æklgk
দেইন,d̪e͡i̯n
'','
কল,kɔl
আজিম,aɟim
নাইলে,na͡i̯le
মনয়,monoʲ
সম্ববত,ʃɔmbɔbɔt̪o
কেউ,ke͡u̯
দিতাছি,d̪it̪acʰi
একটু,ektu
রাহো,raho
সমস্যা,ʃɔmoʃʃa
নাইগা,na͡i̯ga
কারেন্ট,karent
নাই,na͡i̯
গরম,gɔrom
লাগবোই,lagbo͡i̯
হেইডা,he͡i̯da
তুমার,t̪umar
বাতাসে,bat̪aʃe
দাদির,d̪ad̪ir
হুটেলো,hutelo
কায়া,kaʲa
আবার,abar
বেডাগিরি,bedagiri
হরো,horo
যেইদিন,ɟe͡i̯d̪in
নিজে,niɟe
ইনকাম,inkam
করতারবা,kort̪arba
এইসময়,e͡i̯ʃɔmɔʲ
বেবসা,bebʃa
হরতারছ,hɔrot̪arɔcʰo
হে,he
ছাইর,cʰa͡i̯r
আনা,ana
খাডায়া,kʰadaʲa
খাইট্টা,kʰa͡i̯tta
আইন্না,a͡i̯nna
বেবসাত,bebʃat̪
হুটেলতে,hutelt̪e
আন্তাছে,ant̪acʰe
নায়তো,naʲt̪o
