words,ipa
আমি,ami
তো,t̪o
চইলে,co͡i̯le
আসলাম,aʃlam
তুমারে,t̪umare
মনে,mone
করো,koro
যে,ɟe
এর,er
মধ্যি,mod̪d̪ʱi
কাইলকে,ka͡i̯lke
ফোন,pʰon
দিলাম,d̪ilam
তুমি,t̪umi
কলা,kɔla
আসতিছি,aʃt̪icʰi
পরে,pɔre
আসলানা,aʃlana
এজন্যি,eɟonni
হ,ho
ওইদিন,o͡i̯d̪in
আসি,aʃi
নেই,ne͡i̯
ঝামেলায়,ɟʱamelaʲ
পড়িছিলাম,poɽicʰilam
এট্টু,ettu
যাক,ɟak
ঝামেলা,ɟʱamela
গেছে,gecʰe
যাই,ɟa͡i̯
হোক,hok
আসো,aʃo
সাবধানে,ʃabd̪ʱane
ঝামেলা-টামেলা,ɟʱamela-tamela
ভাই,bʱa͡i̯
ওই,o͡i̯
সারতি,ʃart̪i
দিছিলাম,d̪icʰilam
জন্যি,ɟonni
দুকানে,d̪ukane
ছিলাম,cʰilam
তালি,t̪ali
সমস্যা,ʃɔmoʃʃa
আছো,acʰo
বাড়ি,baɽi
তাই,t̪a͡i̯
না,na
আছি,acʰi
ঈদ,id̪
পর্যন্ত,porɟont̪o
ঈদির,id̪ir
যাবা,ɟaba
কোনোজাগা,konoɟaga
বেরোয়,beroʲ
যাব,ɟabo
কি,ki
কাজ-বাজ,kaɟ-baɟ
এই,e͡i̯
বরিশাল,boriʃal
যাতি,ɟat̪i
হতি,hot̪i
পারে,pare
ওইয,o͡i̯ɟ
এ,e
ইসির,isir
লাইন,la͡i̯n
চোহি,cohi
দেখতি,d̪ekʰt̪i
ফারে,pʰare
মানে,mane
দুই,d̪u͡i̯
ছিটকে,cʰitke
যায়,ɟaʲ
দ্যাহার,d̪æhar
সাথে,ʃat̪ʰe
ভারি,bʱari
কিলাশ।ঈমনের,kilaʃ।imoner
ঈমন,imon
লাস্টে,laste
বিয়ে,biʲe
ওরিছেলো,oricʰelo
বিয়েডা,biʲeda
টিকে,tike
আছে,acʰe
নাকি,naki
আরেট্টা,aretta
করলো,korlo
সেইডে,ʃe͡i̯de
মেয়ে,meʲe
হইছে,ho͡i̯cʰe
ভালো,bʱalo
