words,ipa
অনর,ɔnɔr
নিজর,niɟɔr
বুঝ,buɟʱ
ফঅলেও,pʰɔ͡o̯le͡o̯
বুঝে,buɟʱe
অইনত্তোবারে,ɔ͡i̯not̪t̪obare
আইললে,a͡i̯lle
গরম,gɔrom
অক্কল,ɔkkol
তেলইনর,t̪elinɔr
বঅরফাতা,bɔ͡o̯ropʰat̪a
অইলে,æ͡i̯le
ন,n
বছরে,bɔcʰore
অয়,ɔʲ
নঅইলে,nɔ͡o̯͡i̯le
নব্বই,nɔbbo͡i̯
বছরেও,bɔcʰore͡o̯
নঅয়,nɔ͡ɔ̯ʲ
অউরু,ɔ͡u̯ru
বাড়ি,baɽi
মধুর,mod̪ʱur
হাঁড়ি,hãɽi
তিন,t̪in
দিনঅর,d̪inɔr
উঅদ্দি,u͡ɔ̯d̪d̪i
থাইলে,t̪ʰa͡i̯le
ঝাঁড়ার,ɟʱãɽar
বারি,bari
অইয়্যা,ɔ͡i̯ʲla
ধানর,d̪ʱanɔr
ফাতা,pʰat̪a
হালা,hala
ফোয়ার,pʰoʷar
হতা,hɔt̪a
ভালা,bʱala
অউনরে,ɔ͡u̯nore
অউন,ɔ͡u̯n
হঅয়,ho͡ɔ̯ʲ
জুনিরে,ɟunire
কয়,kɔʲ
অতি,ot̪i
সুন্দরীর,ʃund̪orir
নেক,nek
নাই,na͡i̯
নেকাইনর,neka͡i̯nɔr
ভাত,bʱat̪
চালাকরভাত,calakorbʱat̪
চতুরর,cot̪uror
অইন,ɔ͡i̯n
হাইলে,ha͡i̯le
আরা,ara
আগা,aga
ফরে,pʰɔre
অককৈ,ɔkko͡i̯
টুয়ার,tuʲar
বাঁশ,bãʃ
এক্কই,ækko͡i̯
একই,æko͡i̯
চুঁয়ার,cũʲar
অহথা,ɔhot̪ʰa
কথা,kɔt̪ʰa
অইবু,ɔ͡i̯bu
মাইনসে,ma͡i̯nʃe
হইলে,ho͡i̯le
অদারু,ɔd̪aru
দারু,d̪aru
ফাডাত,pʰadat̪
ফিষিলে,pʰiʃile
হথা,hɔt̪ʰa
চালাকর,calakor
গলাত,gɔlat̪
দরি,d̪ori
ভক্তি,bʱokt̪i
যার,ɟar
চোরর,coror
লক্কন,lokkon
তার,t̪ar
অদের,ɔd̪er
হাম,ham
গরি,gori
বে,be
লই,lɔ͡i̯
টানাটানি,tanatani
অক্কর,ɔkkor
দান,d̪an
ফক্কত,pʰokkot̪o
যায়,ɟaʲ
অ,ɔ
ভ,bʱɔ
বুজস,buɟɔʃ
অইদে,ɔ͡i̯d̪e
ইতে,it̪e
ত,t̪o
দে,d̪e
নকাইয়ত,nɔka͡i̯ʲot̪
নো,no
অভাগা,ɔbʱaga
যিকে,ɟike
চায়,caʲ
সায়গর,saʲgɔr
ফুওয়াই,pʰu͡o̯ʷa͡i̯
অযাগাততে,ɔɟagat̪t̪e
তুলসী,t̪ulʃi
অজাতত্তে,ɔɟat̪ɔt̪t̪e
রূপসী,rupoʃi
অসতল্যয়,ɔʃot̪ɔllɔʲ
অসৈত্যামি,ɔʃo͡i̯t̪t̪ami
সতল্লয়,ʃɔt̪ollɔʲ
সৎ,ʃɔt̪
চোরল্লয়,corollɔʲ
চোরামি,corami
গর,gɔr
শঠল্লয়,ʃɔtʰllɔʲ
শঠ,ʃɔtʰ
ভাই,bʱa͡i̯
থমথম,t̪ʰɔmɔt̪ʰom
উলুবনৎ,ulubɔnoʃ
আছে,acʰe
যেই,ɟe͡i̯
কি,ki
হম,hɔm
অরির,ɔrir
চিন্তা,cint̪a
জামাইর,ɟama͡i̯r
ফেট,pʰet
অকুলীন,ɔkulin
কুলীন,kulin
হীন,hin
ধরিব,d̪ʱorib
জীন,ɟin
অস্তা,ɔst̪a
কেলা,kela
হষ,hɔʃ
মঅংগা,mo͡ɔ̯ŋga
রস,rɔʃ
অমাইনসে,ɔma͡i̯nʃe
মাইনসর,ma͡i̯nʃɔr
গতি,got̪i
উদ্দুরে,ud̪d̪ure
কোরান,koran
না,na
পুঁথি,pũt̪ʰi
