Unnamed: 0,District,External_ID,Contents,ipa,sentence
0,Habiganj,rec_01_audio_0.wav,আইলাম তোমরার সাতে মাতবার লাইগা।, a͡i̯lam t̪omrar ʃat̪e mat̪bar la͡i̯ga।,আইলাম তোমরার সাতে মাতবার লাইগা।
1,Habiganj,rec_01_audio_0.wav,বন্দ খর।, bonk kʰɔr।,বন্দ খর।
2,Habiganj,rec_01_audio_0.wav,"সুফিয়া ছিনছ না, মতুইরার মার নাম ওইত্তো।"," ʃupʰiʲa cʰincʰo na, mot̪u͡i̯rar mar nam o͡i̯t̪t̪o।","সুফিয়া ছিনছ না, মতুইরার মার নাম ওইত্তো।"
3,Habiganj,rec_01_audio_0.wav,ও মতুইরার মার নাম সুফিয়া?, o mot̪u͡i̯rar mar nam ʃupʰiʲa?,ও মতুইরার মার নাম সুফিয়া?
4,Habiganj,rec_01_audio_0.wav,হু।,hu।,হু।
5,Habiganj,rec_01_audio_0.wav,"দুরু, <> স্টাইলের সাতে ডাখার <> না, আমি তো খালি সুফিয়া, সুফিয়া আফারেই ছিনি।"," d̪uru, <> sta͡i̯ler ʃat̪e dakʰar <> na, ami t̪o kʰali ʃupʰiʲa, ʃupʰiʲa apʰare͡i̯ cʰini।","দুরু, <> স্টাইলের সাতে ডাখার <> না, আমি তো খালি সুফিয়া, সুফিয়া আফারেই ছিনি।"
6,Habiganj,rec_01_audio_0.wav,"<> রাখিছ, বটলারে।"," <> rakʰicʰo, bɔtlare।","<> রাখিছ, বটলারে।"
7,Habiganj,rec_01_audio_1.wav,"না এরা দিতো না, এরা হুজুর মানুষ।"," na era d̪it̪o na, era huɟur manuʃ।","না এরা দিতো না, এরা হুজুর মানুষ।"
8,Habiganj,rec_01_audio_1.wav,কেরে দিতো না?, kere d̪it̪o na?,কেরে দিতো না?
9,Habiganj,rec_01_audio_1.wav,"<> তেমন কিছু না, তুমি কিতা খরো না খরো, জামাইর বাড়িত, বাফের বাড়িত, ফোলা লইয়া কেমনে সময় খাডাও?"," <> t̪æmon kicʰu na, t̪umi kit̪a kʰɔro na kʰɔro, ɟama͡i̯r baɽit̪o, bapʰer baɽit̪o, pʰe͡a̯la lɔ͡i̯ʲa kæmone ʃɔmɔʲ kʰada͡o̯?","<> তেমন কিছু না, তুমি কিতা খরো না খরো, জামাইর বাড়িত, বাফের বাড়িত, ফোলা লইয়া কেমনে সময় খাডাও?"
10,Habiganj,rec_01_audio_1.wav,ইত্তোই আরকি।, it̪t̪o͡i̯ arɔki।,ইত্তোই আরকি।
11,Habiganj,rec_01_audio_1.wav,"<> জামাইর বাড়িত কিভাবে স্বাধীনতা, জামাইর বাড়িত সব খাজ খরন লাগে, সংসার সামলানি"," <> ɟama͡i̯r baɽit̪o kibʱabe ʃad̪ʱinot̪a, ɟama͡i̯r baɽit̪o ʃɔb kʰaɟ kʰɔron lage, ʃɔŋʃar ʃamlani","<> জামাইর বাড়িত কিভাবে স্বাধীনতা, জামাইর বাড়িত সব খাজ খরন লাগে, সংসার সামলানি"
12,Habiganj,rec_01_audio_2.wav,<> ছেলে সামলানি লাগে।, <> cʰele ʃamlani lage।,<> ছেলে সামলানি লাগে।
13,Habiganj,rec_01_audio_2.wav,তে ফুলা কিতা অখনোই সামলানি লাগে নানি?, t̪e pʰula kit̪a ɔkʰono͡i̯ ʃamlani lage nani?,তে ফুলা কিতা অখনোই সামলানি লাগে নানি?
14,Habiganj,rec_01_audio_2.wav,তে অখনওত্তোই সামলানি লাগে না?, t̪e ɔkʰonot̪t̪o͡i̯ ʃamlani lage na?,তে অখনওত্তোই সামলানি লাগে না?
15,Habiganj,rec_01_audio_2.wav,"এরে সামালন লাগে না, দেখা-শুনা খরন লাগে না?"," ere ʃamalon lage na, d̪ekʰa-ʃuna kʰɔron lage na?","এরে সামালন লাগে না, দেখা-শুনা খরন লাগে না?"
16,Habiganj,rec_01_audio_2.wav,"তে তুমি যেভাবে খইতাছো খও জামাইর বাড়িত গেলে স্বাধীনতা তাখে না, ফুলা সামলানি লাগে।"," t̪e t̪umi ɟebʱabe kʰo͡i̯t̪acʰo kʰɔ͡o̯ ɟama͡i̯r baɽit̪o gele ʃad̪ʱinot̪a t̪akʰe na, pʰula ʃamlani lage।","তে তুমি যেভাবে খইতাছো খও জামাইর বাড়িত গেলে স্বাধীনতা তাখে না, ফুলা সামলানি লাগে।"
17,Habiganj,rec_01_audio_2.wav,"বুচ্ছি, ইখানোত্তো"," buccʰi, ikʰanot̪t̪o","বুচ্ছি, ইখানোত্তো"
18,Habiganj,rec_01_audio_3.wav,"ইখানো তো মনো খর খাজ, অন্য খাজ তো খরন লাগে না, দর রান্না-বাড়া কুছতা খরা লাগে না।"," ikʰano t̪o mono kʰɔr kʰaɟ, ɔnno kʰaɟ t̪o kʰɔron lage na, d̪ɔr ranna-baɽa kucʰɔt̪a kʰɔra lage na।","ইখানো তো মনো খর খাজ, অন্য খাজ তো খরন লাগে না, দর রান্না-বাড়া কুছতা খরা লাগে না।"
19,Habiganj,rec_01_audio_3.wav,খালি এরে দেখলেই ওয় বা আম্মা এরা সময়ে এরে দেখে।, kʰali ere d̪ekʰle͡i̯ oʲ ba amma era ʃɔmɔʲe ere d̪ekʰe।,খালি এরে দেখলেই ওয় বা আম্মা এরা সময়ে এরে দেখে।
20,Habiganj,rec_01_audio_3.wav,আর ইখানো তো <> ফুরাডা।, ar ikʰano t̪o <> pʰurada।,আর ইখানো তো <> ফুরাডা।
21,Habiganj,rec_01_audio_3.wav,ফুরাডা কিতা খরো?, pʰurada kit̪a kʰɔro?,ফুরাডা কিতা খরো?
22,Habiganj,rec_01_audio_3.wav,"ফুরাডা খরন লাগে, এরেও দেখন লাগে, রান্না-বারাও খরন লাগে, সব কাজ-খাম খরন লাগে।"," pʰurada kʰɔron lage, ere͡o̯ d̪ækʰon lage, ranna-bara͡o̯ kʰɔron lage, ʃɔb kaɟ-kʰam kʰɔron lage।","ফুরাডা খরন লাগে, এরেও দেখন লাগে, রান্না-বারাও খরন লাগে, সব কাজ-খাম খরন লাগে।"
23,Habiganj,rec_01_audio_4.wav,"বাফের বাইত আইলে রিল্যাক্স, যেবালা ইচ্ছা ইবালা ঘুম তিকা উডো।"," bapʰer ba͡i̯t̪o a͡i̯le rilækʃo, ɟebala iccʰa ibala gʱum t̪ika udo।","বাফের বাইত আইলে রিল্যাক্স, যেবালা ইচ্ছা ইবালা ঘুম তিকা উডো।"
24,Habiganj,rec_01_audio_4.wav,তে তুমিদি জামাইর বাড়িত গেলে আরও খুশি অও হুনছি।, t̪e t̪umid̪i ɟama͡i̯r baɽit̪o gele arɔ͡o̯ kʰuʃi ɔ͡o̯ huncʰi।,তে তুমিদি জামাইর বাড়িত গেলে আরও খুশি অও হুনছি।
25,Habiganj,rec_01_audio_4.wav,কেডা খইছেবে?, keda kʰo͡i̯cʰebe?,কেডা খইছেবে?
26,Habiganj,rec_01_audio_4.wav,সবাইওত্তই খয়।, ʃɔba͡i̯ot̪t̪o͡i̯ kʰɔʲ।,সবাইওত্তই খয়।
27,Habiganj,rec_01_audio_4.wav,"জামাইর বাড়িত গিয়া খতো খুশি, খতো আরাম, কুনু খাজ-কাম নাই।"," ɟama͡i̯r baɽit̪o giʲa kʰɔt̪o kʰuʃi, kʰɔt̪o aram, kunu kʰaɟ-kam na͡i̯।","জামাইর বাড়িত গিয়া খতো খুশি, খতো আরাম, কুনু খাজ-কাম নাই।"
28,Habiganj,rec_01_audio_5.wav,"বাসার মদ্যে আরামে তাখলেও বাল্লাগে না একলা, একলা।"," baʃar mod̪d̪e arame t̪akʰole͡o̯ ballage na ækla, ækla।","বাসার মদ্যে আরামে তাখলেও বাল্লাগে না একলা, একলা।"
29,Habiganj,rec_01_audio_5.wav,<> কেরে ইখানের মানুষের সাতে ফরিছয় নাইনি?, <> kere ikʰaner manuʃer ʃat̪e pʰricʰɔʲ na͡i̯ni?,<> কেরে ইখানের মানুষের সাতে ফরিছয় নাইনি?
30,Habiganj,rec_01_audio_5.wav,"আছে ওত্তোই, এরফরে নিজের আত্মীয়-স্বজন, নিজের কিতা ছাড়া বালা লাগে না, আর <> সময় মাতলে আমার অশান্তি লাগে।"," acʰe ot̪t̪o͡i̯, erpʰɔre niɟer at̪t̪iʲo-ʃɔɟɔn, niɟer kit̪a cʰaɽa bala lage na, ar <> ʃɔmɔʲ mat̪le amar ɔʃant̪i lage।","আছে ওত্তোই, এরফরে নিজের আত্মীয়-স্বজন, নিজের কিতা ছাড়া বালা লাগে না, আর <> সময় মাতলে আমার অশান্তি লাগে।"
31,Habiganj,rec_01_audio_6.wav,এরার মতো মাত ফারোনি?, erar mɔt̪o mat̪ pʰaroni?,এরার মতো মাত ফারোনি?
32,Habiganj,rec_01_audio_6.wav,"না, বুঝি টিকই এরার খতা।"," na, buɟʱi tiki erar kʰɔt̪a।","না, বুঝি টিকই এরার খতা।"
33,Habiganj,rec_01_audio_6.wav,তোমার ফোলার নাম কিতা?, t̪omar pʰolar nam kit̪a?,তোমার ফোলার নাম কিতা?
34,Habiganj,rec_01_audio_6.wav,"কেম্নে রাখছো, বিয়া-টিয়া কেম্নে খরছো?"," kemne rakʰcʰo, biʲa-tiʲa kemne kʰorcʰo?","কেম্নে রাখছো, বিয়া-টিয়া কেম্নে খরছো?"
35,Habiganj,rec_01_audio_6.wav,"বিয়া যে খত্তো মজা, খালি খাওন আর খাওন।"," biʲa ɟe kʰɔt̪t̪o mɔɟa, kʰali kʰa͡o̯n ar kʰa͡o̯n।","বিয়া যে খত্তো মজা, খালি খাওন আর খাওন।"
