Index,District,External_ID,Contents,ipa,new_ipa
0,Tangail,rec_40_audio_27.wav,যদিও এতো বড় আগুন লাগে তাইলে সেইটা নিবাইতে হবে না?,ɟod̪ɪ͡o̯ et̪o bɔɽo ɐgun lɐge t̪ɐ͡ɪ̯le ʃe͡ɪ̯tɐ nɪbɐ͡ɪ̯t̪e hɔbe nɐ?,ɟod̪i͡o̯ et̪o bɔɽo agun lage t̪a͡i̯le ʃe͡i̯ta niba͡i̯t̪e hɔbe na?
1,Tangail,rec_40_audio_27.wav,আর সব থেকে ফানি কথা হইতেছে দেখ?,ɐɾ ʃɔb t̪ʰeke pʰɐnɪ kɔt̪ʰɐ ho͡ɪ̯t̪ecʰe d̪ɛkʰo?,ar ʃɔb t̪ʰeke pʰani kɔt̪ʰa ho͡i̯t̪ecʰe d̪ækʰo?
2,Tangail,rec_40_audio_27.wav,"আগুন লাগছে আমাদের মাননীয় প্রধানমন্ত্রী সে <> অসহায়দের নিয়ে কোনো কথা না বইলা, সে ফায়ার সার্ভিসের অফিসে কেনো মানুষ গেলো?","ɐgun lɐgcʰe ɐmɐd̪eɾ mɐnonɪʲo pɾod̪ʱɐnmont̪ɾɪ ʃe <> ɔʃɔhɐʲod̪eɾ nɪʲe kono kɔt̪ʰɐ nɐ bo͡ɪ̯lɐ, ʃe pʰɐʲɐɾ ʃɐɾbʱɪseɾ ɔpʰɪse keno mɐnuʃ gelo?","agun lagcʰe amad̪er manoniʲo prod̪ʱanmont̪ri ʃe <> ɔʃɔhaʲod̪er niʲe kono kɔt̪ʰa na bo͡i̯la, ʃe pʰaʲar ʃarbʱiser ɔpʰise keno manuʃ gelo?"
3,Tangail,rec_40_audio_27.wav,সেইটা নিয়া তার মাথাব্যাথা হইয়া গেছে।,ʃe͡ɪ̯tɐ nɪʲɐ t̪ɐɾ mɐt̪ʰɐbɛt̪ʰɐ ho͡ɪ̯ʲɐ gecʰe।,ʃe͡i̯ta niʲa t̪ar mat̪ʰabæt̪ʰa ho͡i̯ʲa gecʰe।
4,Tangail,rec_40_audio_27.wav,"হুম, এইটা এইটার বিরুদ্ধে স্টেপ নিবে।","hum, e͡ɪ̯tɐ e͡ɪ̯tɐɾ bɪɾud̪d̪ʱe step nɪbe।","hum, e͡i̯ta e͡i̯tar birud̪d̪ʱe step nibe।"
5,Tangail,rec_40_audio_27.wav,একবার মানে মানুষদের জন্য কী করা উচিত?,ɛkbɐɾ mɐne mɐnuʃd̪eɾ ɟonno kɪ kɔɾɐ ucɪt̪?,ækbar mane manuʃd̪er ɟonno ki kɔra ucit̪?
6,Tangail,rec_40_audio_27.wav,বা তাদের এইযে এ রোজাত সিজনটা এতো বড় লস হইলো।,bɐ t̪ɐd̪eɾ e͡ɪ̯ɟe e ɾoɟɐt̪ ʃɪɟɔntɐ et̪o bɔɽo lɔʃo ho͡ɪ̯lo।,ba t̪ad̪er e͡i̯ɟe e roɟat̪ ʃiɟɔnta et̪o bɔɽo lɔʃo ho͡i̯lo।
7,Tangail,rec_40_audio_27.wav,তাদের,t̪ɐd̪eɾ,t̪ad̪er
8,Tangail,rec_40_audio_28.wav,পাশে দাঁড়ানো উচিত এইটা না বলে।,pɐʃe d̪ɐ̃ɽɐno ucɪt̪ e͡ɪ̯tɐ nɐ bole।,paʃe d̪ãɽano ucit̪ e͡i̯ta na bole।
9,Tangail,rec_40_audio_28.wav,"হ্যাঁ, এমনিতে অটোমেটিক যার যার আগুন ধরছে, যার মার্কেটে তার কিন্তু আসলে ভিতরের সিচুয়েশনটা কিন্তু আমরা নরমাল মানুষ বুঝতেছি না।","hɛ̃, emnɪt̪e ɔtometɪk ɟɐɾ ɟɐɾ ɐgun d̪ʱoɾcʰe, ɟɐɾ mɐɾkete t̪ɐɾ kɪnt̪u ɐʃole bʱɪt̪ɔɾeɾ ʃɪcuʲeʃontɐ kɪnt̪u ɐmɾɐ nɔɾmɐl mɐnuʃ buɟʱt̪ecʰɪ nɐ।","hæ̃, emnit̪e ɔtometik ɟar ɟar agun d̪ʱorcʰe, ɟar markete t̪ar kint̪u aʃole bʱit̪ɔrer ʃicuʲeʃonta kint̪u amra nɔrmal manuʃ buɟʱt̪ecʰi na।"
10,Tangail,rec_40_audio_28.wav,সত্যি কথা যেটা আমরা কিন্তু বুঝতেছি না।,ʃot̪t̪ɪ kɔt̪ʰɐ ɟetɐ ɐmɾɐ kɪnt̪u buɟʱt̪ecʰɪ nɐ।,ʃot̪t̪i kɔt̪ʰa ɟeta amra kint̪u buɟʱt̪ecʰi na।
11,Tangail,rec_40_audio_28.wav,তাদের তো কোটি কোটি টাকা লস হইয়া গেছে।,t̪ɐd̪eɾ t̪o kotɪ kotɪ tɐkɐ lɔʃo ho͡ɪ̯ʲɐ gecʰe।,t̪ad̪er t̪o koti koti taka lɔʃo ho͡i̯ʲa gecʰe।
12,Tangail,rec_40_audio_28.wav,তো ওই মানুষটা তো এমনি হাইপার হইয়া তো যাবে প্রতিবাদ করতে।,t̪o o͡ɪ̯ mɐnuʃtɐ t̪o emnɪ hɐ͡ɪ̯pɐɾ ho͡ɪ̯ʲɐ t̪o ɟɐbe pɾot̪ɪbɐd̪ koɾt̪e।,t̪o o͡i̯ manuʃta t̪o emni ha͡i̯par ho͡i̯ʲa t̪o ɟabe prot̪ibad̪ kort̪e।
13,Tangail,rec_40_audio_28.wav,তাই না?,t̪ɐ͡ɪ̯ nɐ?,t̪a͡i̯ na?
14,Tangail,rec_40_audio_28.wav,তার উপরে ওনার কথা হইতাছে,t̪ɐɾ upɔɾe onɐɾ kɔt̪ʰɐ ho͡ɪ̯t̪ɐcʰe,t̪ar upɔre onar kɔt̪ʰa ho͡i̯t̪acʰe
15,Tangail,rec_40_audio_29.wav,কেনো তারা বিক্ষোভ করতে গেলো?,keno t̪ɐɾɐ bɪkkʰobʱ koɾt̪e gelo?,keno t̪ara bikkʰobʱ kort̪e gelo?
