District,External_ID,Contents,ipa
Tangail,rec_40_audio_27.wav,যদিও এতো বড় আগুন লাগে তাইলে সেইটা নিবাইতে হবে না?,ɟod̪i͡o̯ et̪o bɔɽo agun lage t̪a͡i̯le ʃe͡i̯ta niba͡i̯t̪e hɔbe na?
Tangail,rec_40_audio_27.wav,আর সব থেকে ফানি কথা হইতেছে দেখ?,ar ʃɔb t̪ʰeke pʰani kɔt̪ʰa ho͡i̯t̪ecʰe d̪ækʰo?
Tangail,rec_40_audio_27.wav,"আগুন লাগছে আমাদের মাননীয় প্রধানমন্ত্রী সে <> অসহায়দের নিয়ে কোনো কথা না বইলা, সে ফায়ার সার্ভিসের অফিসে কেনো মানুষ গেলো?","agun lagcʰe amad̪er manoniʲo prod̪ʱanmont̪ri ʃe <> ɔʃɔhaʲod̪er niʲe kono kɔt̪ʰa na bo͡i̯la, ʃe pʰaʲar ʃarbʱiser ɔpʰise keno manuʃ gelo?"
Tangail,rec_40_audio_27.wav,সেইটা নিয়া তার মাথাব্যাথা হইয়া গেছে।,ʃe͡i̯ta niʲa t̪ar mat̪ʰabæt̪ʰa ho͡i̯ʲa gecʰe।
Tangail,rec_40_audio_27.wav,"হুম, এইটা এইটার বিরুদ্ধে স্টেপ নিবে।","hum, e͡i̯ta e͡i̯tar birud̪d̪ʱe step nibe।"
Tangail,rec_40_audio_27.wav,একবার মানে মানুষদের জন্য কী করা উচিত?,ækbar mane manuʃd̪er ɟonno ki kɔra ucit̪?
Tangail,rec_40_audio_27.wav,বা তাদের এইযে এ রোজাত সিজনটা এতো বড় লস হইলো।,ba t̪ad̪er e͡i̯ɟe e roɟat̪ ʃiɟɔnta et̪o bɔɽo lɔʃo ho͡i̯lo।
Tangail,rec_40_audio_27.wav,তাদের,t̪ad̪er
Tangail,rec_40_audio_28.wav,পাশে দাঁড়ানো উচিত এইটা না বলে।,paʃe d̪ãɽano ucit̪ e͡i̯ta na bole।
Tangail,rec_40_audio_28.wav,"হ্যাঁ, এমনিতে অটোমেটিক যার যার আগুন ধরছে, যার মার্কেটে তার কিন্তু আসলে ভিতরের সিচুয়েশনটা কিন্তু আমরা নরমাল মানুষ বুঝতেছি না।","hæ̃, emnit̪e ɔtometik ɟar ɟar agun d̪ʱorcʰe, ɟar markete t̪ar kint̪u aʃole bʱit̪ɔrer ʃicuʲeʃonta kint̪u amra nɔrmal manuʃ buɟʱt̪ecʰi na।"
Tangail,rec_40_audio_28.wav,সত্যি কথা যেটা আমরা কিন্তু বুঝতেছি না।,ʃot̪t̪i kɔt̪ʰa ɟeta amra kint̪u buɟʱt̪ecʰi na।
Tangail,rec_40_audio_28.wav,তাদের তো কোটি কোটি টাকা লস হইয়া গেছে।,t̪ad̪er t̪o koti koti taka lɔʃo ho͡i̯ʲa gecʰe।
Tangail,rec_40_audio_28.wav,তো ওই মানুষটা তো এমনি হাইপার হইয়া তো যাবে প্রতিবাদ করতে।,t̪o o͡i̯ manuʃta t̪o emni ha͡i̯par ho͡i̯ʲa t̪o ɟabe prot̪ibad̪ kort̪e।
Tangail,rec_40_audio_28.wav,তাই না?,t̪a͡i̯ na?
Tangail,rec_40_audio_28.wav,তার উপরে ওনার কথা হইতাছে,t̪ar upɔre onar kɔt̪ʰa ho͡i̯t̪acʰe
Tangail,rec_40_audio_29.wav,কেনো তারা বিক্ষোভ করতে গেলো?,keno t̪ara bikkʰobʱ kort̪e gelo?
Tangail,rec_40_audio_29.wav,কিন্তু কথা হইলো অ ফায়ার কিন্তু আসছিলো আগুন নিভাইতে।,kint̪u kɔt̪ʰa ho͡i̯lo ɔ pʰaʲar kint̪u aʃcʰilo agun nibʱa͡i̯t̪e।
Tangail,rec_40_audio_29.wav,তাদের অফিসে যাইয়া হামলা করলে কি হবে?,t̪ad̪er ɔpʰise ɟa͡i̯ʲa hamla korle ki hɔbe?
Tangail,rec_40_audio_29.wav,না।,na।
Tangail,rec_40_audio_29.wav,ওরা প্রোপারলি ওইখানে কাজটা করে নাই।,ora proparli o͡i̯kʰane kaɟta kore na͡i̯।
Tangail,rec_40_audio_29.wav,অরা জাস্ট অল্প ইকটু পানি নিয়া আসছে বলছে আমাদের পানি শেষ।,ɔra ɟast ɔlpo iktu pani niʲa aʃcʰe bolcʰe amad̪er pani ʃeʃ।
Tangail,rec_40_audio_29.wav,বইলা খালি নিজেদের যে মানে নিজেদের ওই কি বলে ওইটাকে?,bo͡i̯la kʰali niɟed̪er ɟe mane niɟed̪er o͡i̯ ki bole o͡i̯take?
Tangail,rec_40_audio_29.wav,অফিস।,ɔpʰis।
Tangail,rec_40_audio_29.wav,"অফিস পর্যন্ত যাতে পানি মানে আগুনটা না পৌঁছায়, সেই ব্যবস্থা কইরা চইলা গেছে।","ɔpʰis porɟont̪o ɟat̪e pani mane agunta na po͡ũ̯cʰaʲ, ʃe͡i̯ bæbost̪ʰa ko͡i̯ra cɔ͡i̯la gecʰe।"
Tangail,rec_40_audio_30.wav,"বাট ওই মার্কেটের পানি নিভায় মানে, পানি দেয় নাই।","bat o͡i̯ marketer pani nibʱaʲ mane, pani d̪eʲ na͡i̯।"
Tangail,rec_40_audio_30.wav,আগুন নিভাইয়া যায় নাই।,agun nibʱa͡i̯ʲa ɟaʲ na͡i̯।
Tangail,rec_40_audio_30.wav,পরে তো দেখছি যে অদের অনেকগুলা ইউনিট।,pɔre t̪o d̪ekʰcʰi ɟe ɔd̪er ɔnekgula i͡u̯nit।
Tangail,rec_40_audio_30.wav,ওইডা পরে আসছে।,o͡i̯da pɔre aʃcʰe।
Tangail,rec_40_audio_30.wav,তারপরে র‍্যাবের ইউনিট সবাই জয়েন করছে।,t̪arpɔre ræber i͡u̯nit ʃɔba͡i̯ ɟɔʲen korcʰe।
Tangail,rec_40_audio_30.wav,ওইযে ভলেন্টিয়ার।,o͡i̯ɟe bʱɔlentiʲar।
Tangail,rec_40_audio_30.wav,<> যখন দেখছে বাইরায় গেছে হ্যাঁ তখন তাও থামাইতে পারতেছে না তখন।,<> ɟɔkʰon d̪ekʰcʰe ba͡i̯raʲ gecʰe hæ̃ t̪ɔkʰon t̪a͡o̯ t̪ʰama͡i̯t̪e part̪ecʰe na t̪ɔkʰon।
Tangail,rec_40_audio_30.wav,তাও কি সকাল নয়টা-দশটার দিকে আসছে।,t̪a͡o̯ ki ʃɔkal nɔʲta-d̪ʃtar d̪ike aʃcʰe।
Tangail,rec_40_audio_30.wav,আগুন লাগছে যেখানে ছয়টায়।,agun lagcʰe ɟekʰane cʰɔʲtaʲ।
Tangail,rec_40_audio_30.wav,আমার মনে হয় যে মানে,amar mone hɔʲ ɟe mane
Tangail,rec_40_audio_31.wav,"যদি এমন আগে থিকাই ফায়ার সার্ভিসের ব্যবস্থা থাকে যে, আগুন লাগলে ইমার্জেন্সিতে কিছু করা যাবে।","ɟod̪i æmon age t̪ʰika͡i̯ pʰaʲar ʃarbʱiser bæbost̪ʰa t̪ʰake ɟe, agun lagle imarɟensit̪e kicʰu kɔra ɟabe।"
Tangail,rec_40_audio_31.wav,আর গ্যাস তো থাকে সেই গ্যাস কোথায় আমাদের বাংলাদেশে?,ar gæʃ t̪o t̪ʰake ʃe͡i̯ gæʃ kot̪ʰaʲ amad̪er baŋlad̪eʃe?
Tangail,rec_40_audio_31.wav,সেই গ্যাসগুলা যদি দেওয়া হয় তাও তো আগুন নিভায় যায়।,ʃe͡i̯ gæʃgula ɟod̪i d̪e͡o̯ʷa hɔʲ t̪a͡o̯ t̪o agun nibʱaʲ ɟaʲ।
Tangail,rec_40_audio_31.wav,গ্যাস মনে অয় চুলায় পাঠায় দেয়।,gæʃ mone ɔʲ culaʲ patʰaʲ d̪eʲ।
Tangail,rec_40_audio_31.wav,"না, না, না, না, না, না।","na, na, na, na, na, na।"
Tangail,rec_40_audio_31.wav,ওইযে সিলিন্ডারের <> সিলিন্ডারের ভিতরে থাকে না?,o͡i̯ɟe silindarer <> silindarer bʱit̪ɔre t̪ʰake na?
Tangail,rec_40_audio_31.wav,ওইগুলি তো দিলেই আগুন নিভায়।,o͡i̯guli t̪o d̪ile͡i̯ agun nibʱaʲ।
Tangail,rec_40_audio_32.wav,আ আসলেই এগুলা কই?,a aʃole͡i̯ egula ko͡i̯?
Tangail,rec_40_audio_32.wav,ওইডা কি সব জায়গায় রাখে?,o͡i̯da ki ʃɔb ɟaʲgaʲ rakʰe?
Tangail,rec_40_audio_32.wav,বাংলাদেশে আমাদের টোটাল ব্যবস্থাই নাই।,baŋlad̪eʃe amad̪er total bæbost̪ʰa͡i̯ na͡i̯।
Tangail,rec_40_audio_32.wav,সিস্টেমটাই নষ্ট।,ʃistemta͡i̯ nɔʃto।
Tangail,rec_40_audio_32.wav,"যে প্রোপার এক জায়গায় আগুন লাগলে যে আগেই <> মানে সবাই হচ্ছে, সিস্টেমের কথা বলোস?","ɟe propar æk ɟaʲgaʲ agun lagle ɟe age͡i̯ <> mane ʃɔba͡i̯ hoccʰe, ʃistemer kɔt̪ʰa bɔlos?"
Tangail,rec_40_audio_32.wav,আমি তোরে বলি এইযে গরম।,ami t̪ore boli e͡i̯ɟe gɔrom।
Tangail,rec_40_audio_32.wav,"বাহিরের দেশে সুইজারল্যান্ড বল, ইউকে বল।","bahirer d̪eʃe ʃu͡i̯ɟarolænd bɔl, i͡u̯ke bɔl।"
Tangail,rec_40_audio_33.wav,অন্যান্য দেশে হ্যাঁ বস্টেলে।,ɔnnanno d̪eʃe hæ̃ bɔstele।
Tangail,rec_40_audio_33.wav,ওই দেশেও কিন্তু অনেক গরম বা দুবাই সব থেইকা বড় এক্সামপল।,o͡i̯ d̪eʃe͡o̯ kint̪u ɔnek gɔrom ba d̪uba͡i̯ ʃɔb t̪ʰe͡i̯ka bɔɽo ekʃampɔl।
Tangail,rec_40_audio_33.wav,দুবাই কিন্তু অনেক গরম থাকে।,d̪uba͡i̯ kint̪u ɔnek gɔrom t̪ʰake।
Tangail,rec_40_audio_33.wav,ওরা কি করে জানোস?,ora ki kore ɟanos?
Tangail,rec_40_audio_33.wav,ওরা যে ওইযে আ কি বলে?,ora ɟe o͡i̯ɟe a ki bole?
